age_group,ICB22CD,ICB22NM,SICBL22CD,SICBL22NM,IMD_Decile,rural_urban,gender,mh_symptom,mhsds_flag,Der_Financial_Year,MDS_Primary_Split,calls,cost
0-19,E54000054,NHS West Yorkshire Integrated Care Board,E38000190,NHS West Yorkshire ICB - 03R,4,Urban,male,0,0,2020/21,Ambulance Dispatches,18,288
75+,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,1,Rural,male,0,1,2021/22,Recommended to Attend A&E,2,48
0-19,E54000059,NHS Northamptonshire Integrated Care Board,E38000262,NHS Northamptonshire ICB - 78H,6,Rural,male,0,0,2021/22,Recommended to Attend A&E,134,2592
75+,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000052,NHS Humber and North Yorkshire ICB - 02Y,7,Urban,male,0,0,2021/22,Recommended to Attend A&E,36,612
75+,E54000008,NHS Cheshire and Merseyside Integrated Care Board,E38000161,NHS Cheshire and Merseyside ICB - 01T,NULL,Rural,female,0,0,2021/22,Ambulance Dispatches,3,36
75+,E54000027,NHS North West London Integrated Care Board,E38000256,NHS North West London ICB - W2U3Z,4,Rural,male,0,0,2020/21,NULL,1,12
35-59,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E38000119,NHS Humber and North Yorkshire ICB - 03H,2,Urban,male,0,0,2019/20,NULL,2,48
20-34,E54000027,NHS North West London Integrated Care Board,E38000256,NHS North West London ICB - W2U3Z,3,Urban,female,1,1,2021/22,Not Recommended to Attend Other Service,1,12
20-34,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,E38000253,NHS Hampshire and Isle of Wight ICB - D9Y0V,5,Urban,female,1,0,2019/20,Recommended to Attend Primary and Community Care,16,240
60-74,E54000026,NHS Mid and South Essex Integrated Care Board,E38000106,NHS Mid and South Essex ICB - 06Q,5,Urban,female,0,0,2020/21,NULL,3,48
0-19,E54000053,NHS Sussex Integrated Care Board,E38000021,NHS Sussex ICB - 09D,6,Urban,female,0,1,2020/21,NULL,4,48
75+,E54000061,NHS South Yorkshire Integrated Care Board,E38000044,NHS South Yorkshire ICB - 02X,4,Urban,female,0,1,2020/21,Recommended to Attend Primary and Community Care,120,2208
0-19,E54000053,NHS Sussex Integrated Care Board,E38000235,NHS Sussex ICB - 97R,9,Urban,male,0,1,2021/22,Not Recommended to Attend Other Service,1,24
35-59,E54000038,NHS Somerset Integrated Care Board,E38000150,NHS Somerset ICB - 11X,6,Urban,female,0,0,2019/20,5.23 (Ambulance),7,96
35-59,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,6,Urban,male,0,1,2019/20,Recommended to Attend Other Service,4,84
20-34,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E38000050,NHS Lancashire and South Cumbria ICB - 01A,1,Urban,male,0,0,2021/22,5.26 (Other Service),103,2280
75+,E54000053,NHS Sussex Integrated Care Board,E38000235,NHS Sussex ICB - 97R,6,Rural,female,0,0,2019/20,Recommended to Attend Other Service,3,72
35-59,E54000054,NHS West Yorkshire Integrated Care Board,E38000190,NHS West Yorkshire ICB - 03R,8,Rural,male,0,0,2020/21,Recommended to Attend Other Service,3,72
20-34,E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,E38000249,NHS Bedfordshire Luton and Milton Keynes ICB - M1J4Y,5,Urban,female,0,0,2019/20,NULL,7,120
20-34,E54000058,NHS Derby and Derbyshire Integrated Care Board,E38000261,NHS Derby and Derbyshire ICB - 15M,10,Urban,male,0,1,2021/22,Recommended to Attend Primary and Community Care,218,4008
35-59,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,9,Urban,male,0,1,2021/22,NULL,5,72
0-19,E54000058,NHS Derby and Derbyshire Integrated Care Board,E38000261,NHS Derby and Derbyshire ICB - 15M,3,Urban,female,0,1,2021/22,5.26 (Other Service),59,1092
0-19,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,9,Rural,male,0,1,2020/21,Ambulance Dispatches,1,12
60-74,E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,E38000223,NHS Buckinghamshire Oxfordshire and Berkshire West ICB - 14Y,2,Urban,male,0,1,2020/21,5.23 (Ambulance),2,24
60-74,E54000043,NHS Gloucestershire Integrated Care Board,E38000062,NHS Gloucestershire ICB - 11M,5,Urban,male,0,1,2019/20,Recommended to Attend Other Service,1,12
35-59,E54000057,NHS Greater Manchester Integrated Care Board,E38000016,NHS Greater Manchester ICB - 00T,9,Urban,male,0,0,2019/20,Recommended to Attend Primary and Community Care,150,2880
