ICB23CD,ICB23NM,Der_Financial_Year,all_pats,all_calls,mh_pats,mh_calls,mh_freqfly,mh_freqfly_calls
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2017/18,280124,455548,8531,10464,27,599
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2018/19,278876,448273,10361,12368,49,622
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,297907,484379,11206,13687,70,689
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,351513,561081,15069,18051,80,1032
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,314062,480412,12132,14548,56,791
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2017/18,115118,189280,82773,121816,1201,17244
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2018/19,148535,256267,106762,161448,2250,21493
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,165801,302490,112386,165932,1979,19788
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2020/21,179038,333092,76831,105375,771,11221
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021/22,155501,276038,99451,139096,1274,13868
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2017/18,31034,42734,23478,29941,215,1714
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2018/19,62627,102436,45784,65431,815,5925
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2019/20,67683,117562,27307,35395,274,1990
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2020/21,79775,141215,59005,90578,1554,13361
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2021/22,7419,9315,4288,4981,13,211
E54000013,NHS Lincolnshire Integrated Care Board,2017/18,101916,181048,7752,10389,74,1187
E54000013,NHS Lincolnshire Integrated Care Board,2018/19,107587,192810,8110,10457,59,766
E54000013,NHS Lincolnshire Integrated Care Board,2019/20,113028,201437,96044,149140,2654,22428
E54000013,NHS Lincolnshire Integrated Care Board,2020/21,122675,211516,99892,153438,2584,22364
E54000013,NHS Lincolnshire Integrated Care Board,2021/22,110833,185299,90615,134285,1926,15870
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2017/18,144364,250086,7319,8989,26,496
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2018/19,159263,278525,8470,10506,48,533
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2019/20,183988,322205,163572,258959,4727,38573
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2020/21,189109,330437,159891,253098,4574,38397
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2021/22,183810,318040,154142,239152,3964,30421
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2017/18,90493,136170,68212,92886,848,6885
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2018/19,118964,190547,87389,123065,1388,10522
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2019/20,122477,200050,50242,63852,380,3048
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2020/21,149018,252232,111825,166232,2244,20806
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2021/22,16041,21221,10196,12495,48,604
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2017/18,78020,117731,59387,80025,717,5662
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2018/19,102208,164331,75700,106252,1205,9192
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2019/20,101315,166739,39948,49932,280,2478
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2020/21,122203,206301,91695,135026,1676,16903
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2021/22,9070,11293,5476,6393,15,251
E54000022,NHS Norfolk and Waveney Integrated Care Board,2017/18,124879,239136,118566,212421,3502,53100
E54000022,NHS Norfolk and Waveney Integrated Care Board,2018/19,135558,250435,124967,211607,3578,44040
E54000022,NHS Norfolk and Waveney Integrated Care Board,2019/20,143472,258089,127535,209628,3693,38769
E54000022,NHS Norfolk and Waveney Integrated Care Board,2020/21,149568,267775,124425,201152,3423,35482
E54000022,NHS Norfolk and Waveney Integrated Care Board,2021/22,127627,211462,102670,152896,1982,18096
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2017/18,103405,175273,90055,138843,1947,21062
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2018/19,143019,263698,115401,185710,3146,27558
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2019/20,154868,275778,113435,170755,2556,20115
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2020/21,161260,282604,111673,164115,2249,18373
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2021/22,136694,225359,96009,135818,1518,12074
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2017/18,120228,200160,82020,130356,1882,21798
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2018/19,131627,220056,90142,141422,2126,21698
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2019/20,146102,245416,43039,65283,1034,8852
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2020/21,165314,279844,48099,73266,1140,10009
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2021/22,162373,273647,46923,68704,955,7609
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2017/18,193051,321597,180038,285746,4228,46414
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2018/19,207706,346297,193888,306386,4794,47799
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2019/20,225449,375067,18558,24970,190,1879
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2020/21,230413,370695,17942,23984,186,1750
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2021/22,218194,343500,19245,23976,93,1152
E54000026,NHS Mid and South Essex Integrated Care Board,2017/18,164067,301226,155843,264008,4287,52887
E54000026,NHS Mid and South Essex Integrated Care Board,2018/19,171335,312585,159003,263422,4168,48222
E54000026,NHS Mid and South Essex Integrated Care Board,2019/20,190319,336992,168918,271239,4445,41219
E54000026,NHS Mid and South Essex Integrated Care Board,2020/21,192095,336387,160648,253171,3870,37650
E54000026,NHS Mid and South Essex Integrated Care Board,2021/22,177494,297500,146519,221443,3059,25179
E54000027,NHS North West London Integrated Care Board,2017/18,198442,422122,107320,218280,4401,39203
E54000027,NHS North West London Integrated Care Board,2018/19,210971,527840,180261,398514,12345,102975
E54000027,NHS North West London Integrated Care Board,2019/20,243608,644134,199524,455597,13467,112795
E54000027,NHS North West London Integrated Care Board,2020/21,295764,713324,221298,460851,12646,106111
E54000027,NHS North West London Integrated Care Board,2021/22,324198,551829,226149,330864,3764,36531
E54000028,NHS North Central London Integrated Care Board,2017/18,95937,159782,19248,27016,159,2935
E54000028,NHS North Central London Integrated Care Board,2018/19,36780,57286,26207,38291,380,4940
E54000028,NHS North Central London Integrated Care Board,2019/20,49275,79335,29183,44058,415,5022
