ICB23CD,ICB23NM,Der_Financial_Year,SG_SD_description,pats,calls
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2018/19,Behaviour Change - AMB suicidal means and plan,3,3
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,Behaviour Change - AMB suicidal means and plan,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,Behaviour Change - AMB suicidal means and plan,3,3
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2017/18,Behaviour Change - ED suicidal no means nor plan,9,9
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2018/19,Behaviour Change - ED suicidal no means nor plan,9,9
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2017/18,Behaviour Change - PC agitation,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,Behaviour Change - PC agitation,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,Behaviour Change - PC anxiety/panic,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2017/18,Behaviour Change - PC depressed mood,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2018/19,Behaviour Change - PC depressed mood,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,Behaviour Change - PC depressed mood,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,Behaviour Change - PC depressed mood,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2017/18,Behaviour Change - PC hallucinations,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2018/19,Behaviour Change - PC hallucinations,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,Behaviour Change - PC hallucinations,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,Behaviour Change - PC hallucinations,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2018/19,Behaviour Change - PC post-traumatic stress,3,3
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,Behaviour Change - PC post-traumatic stress,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2018/19,Deliberate Self-Harm - AMB medication/toxic substance overdose high risk,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2017/18,Deliberate Self-Harm - AMB toxic ingestion,7,7
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2018/19,Deliberate Self-Harm - AMB toxic ingestion,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2017/18,Deliberate Self-Harm - ED suicidal no means nor plan,3,3
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2018/19,Deliberate Self-Harm - PC full Primary Care assessment and prescribing capability,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,Mental Health Problem - AMB suicidal means and plan,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,Mental Health Problem - ED full ED assessment and management capability,0,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,Mental Health Problem - ED full ED assessment and management capability,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2017/18,Mental Health Problem - ED suicidal no means nor plan,3,4
