SG,SGDescription,SD,SDDescription,SG_SD,SG_SD_description,mh_related
SG1009,Alcohol Intoxication,SD4030,AMB drug/alcohol/solvent misuse,SG1009SD4030,Alcohol Intoxication - AMB drug/alcohol/solvent misuse,0
SG1018,Behaviour Change,SD4175,PC postnatal mental health problem,SG1018SD4175,Behaviour Change - PC postnatal mental health problem,1
SG1018,Behaviour Change,SD4176,PC post-traumatic stress,SG1018SD4176,Behaviour Change - PC post-traumatic stress,1
SG1018,Behaviour Change,SD4177,PC depressed mood,SG1018SD4177,Behaviour Change - PC depressed mood,1
SG1018,Behaviour Change,SD4178,PC agitation,SG1018SD4178,Behaviour Change - PC agitation,1
SG1018,Behaviour Change,SD4179,PC anxiety/panic,SG1018SD4179,Behaviour Change - PC anxiety/panic,1
SG1018,Behaviour Change,SD4180,PC mental health assessment alcohol misuse,SG1018SD4180,Behaviour Change - PC mental health assessment alcohol misuse,0
SG1018,Behaviour Change,SD4181,PC mental health assessment drug misuse,SG1018SD4181,Behaviour Change - PC mental health assessment drug misuse,0
SG1018,Behaviour Change,SD4185,PC hallucinations,SG1018SD4185,Behaviour Change - PC hallucinations,1
SG1018,Behaviour Change,SD4244,AMB suicidal means and plan,SG1018SD4244,Behaviour Change - AMB suicidal means and plan,1
SG1018,Behaviour Change,SD4245,ED suicidal no means nor plan,SG1018SD4245,Behaviour Change - ED suicidal no means nor plan,1
SG1050,Deliberate Self-Harm,SD4003,PC full Primary Care assessment and prescribing capability,SG1050SD4003,Deliberate Self-Harm - PC full Primary Care assessment and prescribing capability,1
SG1050,Deliberate Self-Harm,SD4019,AMB toxic ingestion,SG1050SD4019,Deliberate Self-Harm - AMB toxic ingestion,1
SG1050,Deliberate Self-Harm,SD4052,ED full ED assessment and management capability,SG1050SD4052,Deliberate Self-Harm - ED full ED assessment and management capability,1
SG1050,Deliberate Self-Harm,SD4119,AMB medication/toxic substance overdose high risk,SG1050SD4119,Deliberate Self-Harm - AMB medication/toxic substance overdose high risk,1
SG1050,Deliberate Self-Harm,SD4244,AMB suicidal means and plan,SG1050SD4244,Deliberate Self-Harm - AMB suicidal means and plan,1
SG1050,Deliberate Self-Harm,SD4245,ED suicidal no means nor plan,SG1050SD4245,Deliberate Self-Harm - ED suicidal no means nor plan,1
SG1140,Predetermined Management Plan,SD4053,PC full mental health assessment and prescribing capability,SG1140SD4053,Predetermined Management Plan - PC full mental health assessment and prescribing capability,1
SG1140,Predetermined Management Plan,SD4244,AMB suicidal means and plan,SG1140SD4244,Predetermined Management Plan - AMB suicidal means and plan,1
SG1140,Predetermined Management Plan,SD4245,ED suicidal no means nor plan,SG1140SD4245,Predetermined Management Plan - ED suicidal no means nor plan,1
SG1154,Sleep Difficulties,SD4177,PC depressed mood,SG1154SD4177,Sleep Difficulties - PC depressed mood,1
SG1154,Sleep Difficulties,SD4179,PC anxiety/panic,SG1154SD4179,Sleep Difficulties - PC anxiety/panic,1
SG1154,Sleep Difficulties,SD4180,PC mental health assessment alcohol misuse,SG1154SD4180,Sleep Difficulties - PC mental health assessment alcohol misuse,0
SG1154,Sleep Difficulties,SD4181,PC mental health assessment drug misuse,SG1154SD4181,Sleep Difficulties - PC mental health assessment drug misuse,0
SG1154,Sleep Difficulties,SD4183,PC mental health assessment solvent misuse,SG1154SD4183,Sleep Difficulties - PC mental health assessment solvent misuse,0
SG1154,Sleep Difficulties,SD4244,AMB suicidal means and plan,SG1154SD4244,Sleep Difficulties - AMB suicidal means and plan,1
SG1154,Sleep Difficulties,SD4245,ED suicidal no means nor plan,SG1154SD4245,Sleep Difficulties - ED suicidal no means nor plan,1
SG1155,Social or Domestic Emergency,SD4053,PC full mental health assessment and prescribing capability,SG1155SD4053,Social or Domestic Emergency - PC full mental health assessment and prescribing capability,1
SG1155,Social or Domestic Emergency,SD4054,PC substance misuse,SG1155SD4054,Social or Domestic Emergency - PC substance misuse,0
SG1155,Social or Domestic Emergency,SD4244,AMB suicidal means and plan,SG1155SD4244,Social or Domestic Emergency - AMB suicidal means and plan,1
SG1155,Social or Domestic Emergency,SD4245,ED suicidal no means nor plan,SG1155SD4245,Social or Domestic Emergency - ED suicidal no means nor plan,1
SG1162,Tiredness (Fatigue),SD4177,PC depressed mood,SG1162SD4177,Tiredness (Fatigue) - PC depressed mood,1
SG1162,Tiredness (Fatigue),SD4179,PC anxiety/panic,SG1162SD4179,Tiredness (Fatigue) - PC anxiety/panic,1
SG1162,Tiredness (Fatigue),SD4180,PC mental health assessment alcohol misuse,SG1162SD4180,Tiredness (Fatigue) - PC mental health assessment alcohol misuse,0
SG1162,Tiredness (Fatigue),SD4181,PC mental health assessment drug misuse,SG1162SD4181,Tiredness (Fatigue) - PC mental health assessment drug misuse,0
SG1162,Tiredness (Fatigue),SD4244,AMB suicidal means and plan,SG1162SD4244,Tiredness (Fatigue) - AMB suicidal means and plan,1
SG1162,Tiredness (Fatigue),SD4245,ED suicidal no means nor plan,SG1162SD4245,Tiredness (Fatigue) - ED suicidal no means nor plan,1
SG1163,"Tiredness (Fatigue), Pregnant",SD4177,PC depressed mood,SG1163SD4177,"Tiredness (Fatigue), Pregnant - PC depressed mood",1
SG1163,"Tiredness (Fatigue), Pregnant",SD4179,PC anxiety/panic,SG1163SD4179,"Tiredness (Fatigue), Pregnant - PC anxiety/panic",1
SG1163,"Tiredness (Fatigue), Pregnant",SD4180,PC mental health assessment alcohol misuse,SG1163SD4180,"Tiredness (Fatigue), Pregnant - PC mental health assessment alcohol misuse",0
SG1163,"Tiredness (Fatigue), Pregnant",SD4181,PC mental health assessment drug misuse,SG1163SD4181,"Tiredness (Fatigue), Pregnant - PC mental health assessment drug misuse",0
SG1163,"Tiredness (Fatigue), Pregnant",SD4244,AMB suicidal means and plan,SG1163SD4244,"Tiredness (Fatigue), Pregnant - AMB suicidal means and plan",1
SG1163,"Tiredness (Fatigue), Pregnant",SD4245,ED suicidal no means nor plan,SG1163SD4245,"Tiredness (Fatigue), Pregnant - ED suicidal no means nor plan",1
SG1185,"Drug, solvent, alcohol misuse",SD4180,PC mental health assessment alcohol misuse,SG1185SD4180,"Drug, solvent, alcohol misuse - PC mental health assessment alcohol misuse",0
SG1185,"Drug, solvent, alcohol misuse",SD4181,PC mental health assessment drug misuse,SG1185SD4181,"Drug, solvent, alcohol misuse - PC mental health assessment drug misuse",0
SG1185,"Drug, solvent, alcohol misuse",SD4183,PC mental health assessment solvent misuse,SG1185SD4183,"Drug, solvent, alcohol misuse - PC mental health assessment solvent misuse",0
SG1185,"Drug, solvent, alcohol misuse",SD4244,AMB suicidal means and plan,SG1185SD4244,"Drug, solvent, alcohol misuse - AMB suicidal means and plan",1
SG1185,"Drug, solvent, alcohol misuse",SD4245,ED suicidal no means nor plan,SG1185SD4245,"Drug, solvent, alcohol misuse - ED suicidal no means nor plan",1
SG1186,Worsening known Mental health problem,SD4003,PC full Primary Care assessment and prescribing capability,SG1186SD4003,Worsening known Mental health problem - PC full Primary Care assessment and prescribing capability,1
SG1186,Worsening known Mental health problem,SD4052,ED full ED assessment and management capability,SG1186SD4052,Worsening known Mental health problem - ED full ED assessment and management capability,1
SG1186,Worsening known Mental health problem,SD4205,ED schizophrenia,SG1186SD4205,Worsening known Mental health problem - ED schizophrenia,1
SG1186,Worsening known Mental health problem,SD4206,PC bipolar disorder,SG1186SD4206,Worsening known Mental health problem - PC bipolar disorder,1
SG1186,Worsening known Mental health problem,SD4207,PC chronic depression,SG1186SD4207,Worsening known Mental health problem - PC chronic depression,1
SG1186,Worsening known Mental health problem,SD4208,ED mania/hypomania,SG1186SD4208,Worsening known Mental health problem - ED mania/hypomania,1
SG1186,Worsening known Mental health problem,SD4209,PC generalised anxiety disorder,SG1186SD4209,Worsening known Mental health problem - PC generalised anxiety disorder,1
SG1186,Worsening known Mental health problem,SD4210,PC Dementia/alzheimer's,SG1186SD4210,Worsening known Mental health problem - PC Dementia/alzheimer's,1
SG1186,Worsening known Mental health problem,SD4211,PC self-harm,SG1186SD4211,Worsening known Mental health problem - PC self-harm,1
SG1186,Worsening known Mental health problem,SD4244,AMB suicidal means and plan,SG1186SD4244,Worsening known Mental health problem - AMB suicidal means and plan,1
SG1186,Worsening known Mental health problem,SD4245,ED suicidal no means nor plan,SG1186SD4245,Worsening known Mental health problem - ED suicidal no means nor plan,1
SG1186,Worsening known Mental health problem,SD4302,PC mania/hypomania,SG1186SD4302,Worsening known Mental health problem - PC mania/hypomania,1
