ICB23CD,ICB23NM,Der_Financial_Year,toa,mh_snomed,attends
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2021/22,14,0,4645
E54000031,NHS South West London Integrated Care Board,2018/19,5,0,1384
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2021/22,22,1,11850
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2017/18,1,1,2032
E54000057,NHS Greater Manchester Integrated Care Board,2020/21,5,0,6511
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2017/18,21,1,20284
E54000050,NHS North East and North Cumbria Integrated Care Board,2020/21,21,1,938
E54000034,NHS Frimley Integrated Care Board,2020/21,20,1,7880
E54000064,NHS Sussex Integrated Care Board,2021/22,1,1,231
E54000064,NHS Sussex Integrated Care Board,2020/21,18,1,1365
E54000062,NHS Black Country Integrated Care Board,2021/22,14,0,679
E54000043,NHS Gloucestershire Integrated Care Board,2019/20,2,1,945
E54000037,NHS Devon Integrated Care Board,2020/21,7,1,257
E54000054,NHS West Yorkshire Integrated Care Board,2019/20,19,0,8102
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2018/19,15,1,7519
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2020/21,3,1,2678
E54000041,NHS Dorset Integrated Care Board,2020/21,21,0,4699
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2017/18,10,0,1884
E54000063,NHS Surrey Heartlands Integrated Care Board,2017/18,20,1,5610
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2017/18,10,0,1175
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2019/20,22,1,14708
E54000063,NHS Surrey Heartlands Integrated Care Board,2021/22,6,0,2309
E54000022,NHS Norfolk and Waveney Integrated Care Board,2020/21,15,0,3510
E54000030,NHS South East London Integrated Care Board,2021/22,0,1,7142
E54000058,NHS Derby and Derbyshire Integrated Care Board,2021/22,16,0,4763
E54000061,NHS South Yorkshire Integrated Care Board,2020/21,20,1,14647
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2017/18,1,1,427
