ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,EC_Diagnosis_01,pats,attends
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,13746004,153,174
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,3,13746004,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,1,13746004,158,166
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,3,13746004,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,13746004,115,121
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,1,13746004,137,148
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,13746004,126,138
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,17226007,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,1,17226007,6,6
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,3,17226007,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,17226007,8,8
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,1,17226007,7,7
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,17226007,5,5
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,191714002,409,535
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,3,191714002,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,1,191714002,341,429
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,3,191714002,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,191714002,409,517
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,3,191714002,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,1,191714002,418,508
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,191714002,406,521
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,191736004,3,5
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,1,191736004,10,10
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,191736004,9,11
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,197480006,3825,4172
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,3,197480006,208,221
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,4,197480006,191,198
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,4,197480006,22,22
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,1,197480006,4258,4876
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,3,197480006,258,269
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,4,197480006,12,12
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,197480006,4316,4766
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,3,197480006,362,384
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,1,197480006,3195,3490
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,4,197480006,3,3
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,3,197480006,251,259
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,5,197480006,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,5,197480006,133,141
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,3,197480006,304,338
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,197480006,3186,3544
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,3,30077003,4,4
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,30077003,222,231
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,4,30077003,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,4,30077003,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,3,30077003,4,4
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,1,30077003,109,116
