ICB23CD,ICB23NM,Der_Financial_Year,all_pats,all_attends,mh_pats,mh_attends,mh_freqfly,mh_freqfly_attends
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,572302,937731,12947,16088,144,1158
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,477045,771858,12118,15182,146,1168
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,615337,1043476,12977,15889,147,1116
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,641910,1100733,10861,13187,108,837
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,663109,1176617,12062,14820,124,1049
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,266694,433483,4560,5497,35,298
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2020/21,205448,319300,4213,4972,29,244
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021/22,269478,429964,4672,5561,40,313
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2022/23,279083,441646,4502,5413,39,381
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2023/24,286602,464842,4968,5940,47,411
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2019/20,101020,150139,1937,2314,17,116
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2020/21,77125,111740,1939,2396,24,151
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2021/22,111695,168603,2138,2610,23,158
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2022/23,114385,172399,1877,2288,26,189
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2023/24,118831,182206,1987,2465,34,228
E54000013,NHS Lincolnshire Integrated Care Board,2019/20,161479,255614,3768,4641,40,312
E54000013,NHS Lincolnshire Integrated Care Board,2020/21,145922,232768,3575,4366,40,293
E54000013,NHS Lincolnshire Integrated Care Board,2021/22,191303,320614,3814,4666,46,344
E54000013,NHS Lincolnshire Integrated Care Board,2022/23,200656,337050,3872,4697,35,342
E54000013,NHS Lincolnshire Integrated Care Board,2023/24,211340,366472,3965,4795,33,289
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2019/20,205090,306528,5975,7510,74,576
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2020/21,154313,222875,4633,5767,32,268
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2021/22,219000,328189,5166,6353,49,409
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2022/23,225639,336607,4832,5920,52,452
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2023/24,205383,305332,4956,5948,37,286
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2019/20,223622,368245,3495,4110,22,181
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2020/21,155591,242943,3571,4501,34,305
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2021/22,220126,358323,4281,5411,62,493
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2022/23,230415,378482,4019,4968,49,375
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2023/24,235859,389501,3969,4863,48,359
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2019/20,163226,253370,1523,1826,14,93
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2020/21,128039,198203,3165,4121,52,438
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2021/22,167382,265485,3091,3915,53,387
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2022/23,170392,265639,2875,3555,33,256
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2023/24,175598,277964,2821,3558,38,312
E54000022,NHS Norfolk and Waveney Integrated Care Board,2019/20,193096,286179,4845,6206,74,582
E54000022,NHS Norfolk and Waveney Integrated Care Board,2020/21,158141,233420,4490,5650,68,522
E54000022,NHS Norfolk and Waveney Integrated Care Board,2021/22,194002,287648,4868,6113,58,496
E54000022,NHS Norfolk and Waveney Integrated Care Board,2022/23,193213,284542,4467,5736,66,587
E54000022,NHS Norfolk and Waveney Integrated Care Board,2023/24,200986,300723,5026,6562,72,701
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2019/20,166802,240446,1802,1992,3,28
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2020/21,131132,184133,1044,1117,1,9
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2021/22,209388,325237,2807,3458,35,296
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2022/23,217529,341611,2714,3367,40,319
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2023/24,220381,350254,2744,3448,40,307
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2019/20,176972,265835,3054,3643,17,156
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2020/21,143564,214336,3266,4009,33,261
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2021/22,182428,274077,3134,3810,32,272
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2022/23,217308,343981,3548,4398,39,304
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2023/24,229776,376186,3810,4758,40,337
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2019/20,324822,505773,4330,4930,14,112
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2020/21,246918,379878,4419,5148,23,160
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2021/22,335919,544885,4915,5547,20,163
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2022/23,346034,552333,4848,5634,27,216
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2023/24,353723,582633,4948,5627,18,116
E54000026,NHS Mid and South Essex Integrated Care Board,2019/20,159455,230272,3681,4560,40,337
E54000026,NHS Mid and South Essex Integrated Care Board,2020/21,131830,191224,3408,4151,38,282
E54000026,NHS Mid and South Essex Integrated Care Board,2021/22,259250,396391,5704,6884,61,418
E54000026,NHS Mid and South Essex Integrated Care Board,2022/23,262671,400987,5756,6865,43,327
E54000026,NHS Mid and South Essex Integrated Care Board,2023/24,271180,420530,5204,6134,40,284
E54000027,NHS North West London Integrated Care Board,2019/20,495394,919103,6839,8631,61,762
E54000027,NHS North West London Integrated Care Board,2020/21,284844,488554,7096,9217,97,1010
E54000027,NHS North West London Integrated Care Board,2021/22,439501,790971,9083,11835,122,1147
E54000027,NHS North West London Integrated Care Board,2022/23,470233,844883,8932,12067,135,1424
E54000027,NHS North West London Integrated Care Board,2023/24,563697,1015294,8752,11301,115,1066
E54000028,NHS North Central London Integrated Care Board,2019/20,347242,602763,4677,5726,43,487
E54000028,NHS North Central London Integrated Care Board,2020/21,239995,400024,5156,6566,62,674
E54000028,NHS North Central London Integrated Care Board,2021/22,338352,576507,6162,7372,38,452
E54000028,NHS North Central London Integrated Care Board,2022/23,373624,636022,4828,5642,31,311
E54000028,NHS North Central London Integrated Care Board,2023/24,389179,672157,5593,6649,38,377
E54000029,NHS North East London Integrated Care Board,2019/20,446901,740376,7087,8705,65,630
E54000029,NHS North East London Integrated Care Board,2020/21,311423,510373,6389,7993,63,667
E54000029,NHS North East London Integrated Care Board,2021/22,441029,730400,6685,8051,54,503
E54000029,NHS North East London Integrated Care Board,2022/23,456452,762868,6793,8179,54,461
E54000029,NHS North East London Integrated Care Board,2023/24,522910,918787,6482,7915,53,416
E54000030,NHS South East London Integrated Care Board,2019/20,436177,774850,8336,10321,55,761
E54000030,NHS South East London Integrated Care Board,2020/21,317605,542104,8125,10249,80,758
E54000030,NHS South East London Integrated Care Board,2021/22,402781,680124,9111,11133,70,675
E54000030,NHS South East London Integrated Care Board,2022/23,391080,663237,8927,11238,85,778
E54000030,NHS South East London Integrated Care Board,2023/24,385087,627878,7107,9004,82,689
E54000031,NHS South West London Integrated Care Board,2019/20,371055,621653,4136,4867,20,243
E54000031,NHS South West London Integrated Care Board,2020/21,272432,453312,4117,4789,23,213
E54000031,NHS South West London Integrated Care Board,2021/22,342510,579861,4035,4753,24,209
E54000031,NHS South West London Integrated Care Board,2022/23,372133,646264,4613,5589,42,365
E54000031,NHS South West London Integrated Care Board,2023/24,361229,614696,4041,4845,34,257
E54000032,NHS Kent and Medway Integrated Care Board,2019/20,434733,715860,6168,7768,87,801
E54000032,NHS Kent and Medway Integrated Care Board,2020/21,344858,552294,7367,9746,125,1180
E54000032,NHS Kent and Medway Integrated Care Board,2021/22,453973,760400,6610,8652,92,1052
E54000032,NHS Kent and Medway Integrated Care Board,2022/23,495716,845898,5107,6316,56,658
E54000032,NHS Kent and Medway Integrated Care Board,2023/24,514903,897811,3826,4487,27,246
E54000034,NHS Frimley Integrated Care Board,2019/20,138549,215226,2727,3463,31,236
E54000034,NHS Frimley Integrated Care Board,2020/21,115749,182586,3076,4083,46,351
E54000034,NHS Frimley Integrated Care Board,2021/22,152935,243609,2754,3554,31,235
E54000034,NHS Frimley Integrated Care Board,2022/23,151080,248348,2181,2592,19,154
E54000034,NHS Frimley Integrated Care Board,2023/24,162538,280926,2033,2335,9,73
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2019/20,131436,205422,2465,3109,32,231
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2020/21,94076,139998,1993,2388,17,127
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2021/22,117334,177080,2231,2702,23,206
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2022/23,110356,161482,1903,2349,20,154
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2023/24,65835,91450,1204,1407,8,50
E54000037,NHS Devon Integrated Care Board,2019/20,162026,245354,3607,4586,50,417
E54000037,NHS Devon Integrated Care Board,2020/21,156244,227115,2895,3730,42,357
E54000037,NHS Devon Integrated Care Board,2021/22,232951,348582,4570,5657,38,370
E54000037,NHS Devon Integrated Care Board,2022/23,234963,350606,4728,5855,43,414
E54000037,NHS Devon Integrated Care Board,2023/24,251035,385791,5369,6879,77,718
E54000038,NHS Somerset Integrated Care Board,2019/20,140885,223661,1560,1737,4,23
E54000038,NHS Somerset Integrated Care Board,2020/21,108426,166050,1768,2000,7,50
E54000038,NHS Somerset Integrated Care Board,2021/22,141272,225702,1908,2140,6,43
E54000038,NHS Somerset Integrated Care Board,2022/23,150094,241461,1647,1860,7,81
E54000038,NHS Somerset Integrated Care Board,2023/24,152975,251560,1448,1641,3,59
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2019/20,166023,252695,3899,5148,57,583
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2020/21,129270,193315,3701,4951,63,580
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2021/22,168678,256390,3602,4699,62,520
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2022/23,168756,254765,3962,4916,50,428
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2023/24,175180,270361,4452,5636,58,481
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2019/20,174864,255757,2694,3210,27,201
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2020/21,129523,183286,2755,3317,26,200
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2021/22,177413,258170,3119,3658,17,182
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2022/23,185110,270658,2765,3225,19,129
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2023/24,191773,285271,2914,3461,25,198
E54000041,NHS Dorset Integrated Care Board,2019/20,172991,267208,2604,3154,25,176
E54000041,NHS Dorset Integrated Care Board,2020/21,133937,203350,2767,3442,32,241
E54000041,NHS Dorset Integrated Care Board,2021/22,158227,241876,3161,3813,19,147
E54000041,NHS Dorset Integrated Care Board,2022/23,165739,252511,3082,3784,35,264
E54000041,NHS Dorset Integrated Care Board,2023/24,175724,275126,3473,4503,58,467
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2019/20,311210,462346,7003,9057,104,910
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2020/21,244391,360206,6461,8178,94,789
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2021/22,361841,554491,7782,9691,89,690
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2022/23,351318,540617,7877,10066,120,955
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2023/24,375086,590756,8930,11623,140,1183
E54000043,NHS Gloucestershire Integrated Care Board,2019/20,133859,208640,316,345,2,11
E54000043,NHS Gloucestershire Integrated Care Board,2020/21,93960,138432,1150,1381,9,63
E54000043,NHS Gloucestershire Integrated Care Board,2021/22,120570,179531,1452,1688,14,89
E54000043,NHS Gloucestershire Integrated Care Board,2022/23,133730,205794,1722,2077,14,145
E54000043,NHS Gloucestershire Integrated Care Board,2023/24,143825,226016,1775,2067,13,97
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2019/20,305128,463987,3965,4608,21,208
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2020/21,226243,340608,3495,4187,23,200
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2021/22,313027,464876,3706,4303,16,116
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2022/23,317042,468990,3900,4349,16,115
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2023/24,321883,483975,4383,5030,19,133
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2019/20,381136,607344,6574,8461,113,785
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2020/21,310880,483216,8048,9960,75,600
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2021/22,437153,728776,8406,10441,90,744
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2022/23,469190,790035,7425,9035,60,428
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2023/24,497227,912956,7005,8870,82,621
E54000050,NHS North East and North Cumbria Integrated Care Board,2019/20,669271,1106570,10092,11837,71,594
E54000050,NHS North East and North Cumbria Integrated Care Board,2020/21,527187,852125,10012,11814,81,647
E54000050,NHS North East and North Cumbria Integrated Care Board,2021/22,760781,1297219,12477,14723,85,760
E54000050,NHS North East and North Cumbria Integrated Care Board,2022/23,799709,1364658,12208,14431,86,731
E54000050,NHS North East and North Cumbria Integrated Care Board,2023/24,825922,1426354,13051,15713,115,966
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2019/20,392209,632588,7723,9208,57,434
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2020/21,301684,468021,7171,8753,78,677
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2021/22,394453,636893,7557,8954,61,422
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2022/23,414929,673019,6697,7955,56,477
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2023/24,438103,732852,7457,8916,57,475
E54000054,NHS West Yorkshire Integrated Care Board,2019/20,533204,834891,9843,11965,83,747
E54000054,NHS West Yorkshire Integrated Care Board,2020/21,425036,652068,9270,11325,99,757
E54000054,NHS West Yorkshire Integrated Care Board,2021/22,555489,873354,10550,12435,71,587
E54000054,NHS West Yorkshire Integrated Care Board,2022/23,558600,879377,9210,10849,68,584
E54000054,NHS West Yorkshire Integrated Care Board,2023/24,559409,889837,10124,11978,61,579
E54000055,NHS Birmingham and Solihull Integrated Care Board,2019/20,305846,489486,7798,10212,115,1009
E54000055,NHS Birmingham and Solihull Integrated Care Board,2020/21,226769,360884,7571,9981,124,1119
