ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,mh_snomed,mhsds_flag,attends,left_b4_completion
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2023/24,1,1,0,872,15
E54000054,NHS West Yorkshire Integrated Care Board,2023/24,3,1,0,206,4
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2023/24,1,0,1,42051,3301
E54000043,NHS Gloucestershire Integrated Care Board,2022/23,5,0,0,25,0
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2019/20,1,1,1,5954,743
E54000043,NHS Gloucestershire Integrated Care Board,2019/20,3,0,1,9864,386
E54000038,NHS Somerset Integrated Care Board,2021/22,5,1,1,1,0
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2022/23,5,1,1,1,0
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2021/22,3,0,0,119549,4711
E54000055,NHS Birmingham and Solihull Integrated Care Board,2022/23,3,1,1,10,1
E54000037,NHS Devon Integrated Care Board,2022/23,5,0,0,46,0
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2022/23,4,0,1,78,2
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2022/23,4,0,1,45,0
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2022/23,3,1,1,176,1
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2022/23,1,1,0,1141,7
E54000031,NHS South West London Integrated Care Board,2023/24,3,1,1,109,7
E54000038,NHS Somerset Integrated Care Board,2023/24,4,0,0,90,2
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2022/23,1,1,0,423,5
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2019/20,3,0,1,6274,228
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2019/20,3,0,1,11867,101
E54000022,NHS Norfolk and Waveney Integrated Care Board,2019/20,3,0,0,20005,158
E54000041,NHS Dorset Integrated Care Board,2020/21,5,0,1,5,0
E54000038,NHS Somerset Integrated Care Board,2020/21,4,0,0,43,2
E54000028,NHS North Central London Integrated Care Board,2021/22,4,1,1,22,0
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2021/22,5,0,1,4,0
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2022/23,4,1,1,1,0
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2023/24,1,1,0,343,9
E54000013,NHS Lincolnshire Integrated Care Board,2022/23,1,0,1,51828,3627
E54000027,NHS North West London Integrated Care Board,2022/23,1,1,1,7507,301
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2022/23,4,0,0,95,6
E54000027,NHS North West London Integrated Care Board,2023/24,4,0,1,8039,252
E54000027,NHS North West London Integrated Care Board,2022/23,5,0,1,4408,105
E54000029,NHS North East London Integrated Care Board,2019/20,5,0,0,12,0
E54000013,NHS Lincolnshire Integrated Care Board,2020/21,1,1,1,2279,34
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2020/21,3,0,0,72147,851
E54000029,NHS North East London Integrated Care Board,2021/22,5,1,0,10,0
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2020/21,1,0,0,214352,7140
E54000034,NHS Frimley Integrated Care Board,2019/20,1,1,0,507,1
E54000062,NHS Black Country Integrated Care Board,2023/24,5,0,1,310,3
E54000058,NHS Derby and Derbyshire Integrated Care Board,2023/24,5,1,1,18,0
E54000059,NHS Northamptonshire Integrated Care Board,2023/24,5,0,0,71,1
E54000030,NHS South East London Integrated Care Board,2022/23,1,1,1,6782,340
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2020/21,3,0,0,2463,23
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2019/20,1,1,0,387,3
E54000041,NHS Dorset Integrated Care Board,2019/20,4,1,0,1,0
E54000013,NHS Lincolnshire Integrated Care Board,2020/21,1,1,0,576,3
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2021/22,4,0,0,303,10
E54000029,NHS North East London Integrated Care Board,2021/22,5,0,0,6744,57
E54000064,NHS Sussex Integrated Care Board,2022/23,3,1,1,1691,131
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,5,0,0,7231,184
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,3,0,1,36499,2112
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2022/23,4,0,1,606,19
E54000063,NHS Surrey Heartlands Integrated Care Board,2022/23,5,0,0,1868,9
E54000030,NHS South East London Integrated Care Board,2021/22,1,1,1,5871,195
E54000057,NHS Greater Manchester Integrated Care Board,2020/21,3,1,1,369,23
E54000034,NHS Frimley Integrated Care Board,2019/20,3,0,0,3347,107
E54000026,NHS Mid and South Essex Integrated Care Board,2019/20,1,1,0,611,10
E54000057,NHS Greater Manchester Integrated Care Board,2021/22,5,0,1,5,0
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,4,1,0,146,1
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2019/20,5,0,1,1,0
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021/22,5,1,0,1,0
E54000037,NHS Devon Integrated Care Board,2023/24,3,0,0,72638,2234
E54000034,NHS Frimley Integrated Care Board,2023/24,1,1,1,1192,42
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2023/24,4,0,0,102,9
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2023/24,1,0,1,168863,16058
E54000041,NHS Dorset Integrated Care Board,2020/21,3,0,1,9617,6
E54000034,NHS Frimley Integrated Care Board,2021/22,1,1,0,449,3
E54000031,NHS South West London Integrated Care Board,2021/22,5,1,1,12,0
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2019/20,5,0,0,1,0
E54000032,NHS Kent and Medway Integrated Care Board,2019/20,4,0,1,103,1
E54000050,NHS North East and North Cumbria Integrated Care Board,2020/21,1,0,1,226676,8239
E54000063,NHS Surrey Heartlands Integrated Care Board,2020/21,4,1,0,2,0
E54000028,NHS North Central London Integrated Care Board,2022/23,5,1,1,1,0
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2023/24,5,0,0,92,3
E54000057,NHS Greater Manchester Integrated Care Board,2023/24,3,1,1,772,23
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2022/23,3,1,1,257,3
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2023/24,3,0,1,21499,1277
E54000064,NHS Sussex Integrated Care Board,2021/22,1,0,1,109294,6993
E54000057,NHS Greater Manchester Integrated Care Board,2022/23,1,1,1,9973,683
E54000050,NHS North East and North Cumbria Integrated Care Board,2019/20,1,0,0,494335,15114
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2019/20,5,0,0,24,0
E54000063,NHS Surrey Heartlands Integrated Care Board,2020/21,1,0,0,130815,412
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2021/22,5,0,0,19,0
E54000043,NHS Gloucestershire Integrated Care Board,2021/22,3,1,0,41,0
E54000061,NHS South Yorkshire Integrated Care Board,2023/24,4,1,0,1,0
E54000050,NHS North East and North Cumbria Integrated Care Board,2021/22,1,0,0,558131,21530
E54000061,NHS South Yorkshire Integrated Care Board,2022/23,1,0,1,128092,13703
E54000034,NHS Frimley Integrated Care Board,2023/24,1,0,0,172354,6634
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2022/23,4,0,0,161,5
E54000057,NHS Greater Manchester Integrated Care Board,2022/23,3,1,1,461,11
E54000058,NHS Derby and Derbyshire Integrated Care Board,2023/24,1,1,0,894,8
E54000013,NHS Lincolnshire Integrated Care Board,2020/21,3,1,0,251,3
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2020/21,3,0,1,21721,263
E54000057,NHS Greater Manchester Integrated Care Board,2021/22,4,1,1,168,5
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2021/22,5,1,0,3,0
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2023/24,4,1,1,1,0
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2023/24,4,1,1,6,0
E54000026,NHS Mid and South Essex Integrated Care Board,2023/24,3,0,1,5656,175
E54000054,NHS West Yorkshire Integrated Care Board,2023/24,3,0,0,51843,2613
E54000055,NHS Birmingham and Solihull Integrated Care Board,2022/23,3,1,0,8,0
E54000043,NHS Gloucestershire Integrated Care Board,2020/21,3,1,1,59,1
E54000028,NHS North Central London Integrated Care Board,2021/22,4,1,0,43,0
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2019/20,4,0,0,26231,635
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2019/20,4,0,0,29981,21
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2023/24,5,0,0,39,0
E54000043,NHS Gloucestershire Integrated Care Board,2022/23,3,0,0,52273,1045
E54000050,NHS North East and North Cumbria Integrated Care Board,2022/23,3,0,1,102453,4496
E54000022,NHS Norfolk and Waveney Integrated Care Board,2022/23,5,1,1,64,0
E54000028,NHS North Central London Integrated Care Board,2019/20,3,1,1,303,2
E54000028,NHS North Central London Integrated Care Board,2020/21,3,0,1,16134,123
E54000027,NHS North West London Integrated Care Board,2019/20,1,1,1,5325,235
E54000027,NHS North West London Integrated Care Board,2019/20,3,1,0,356,2
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2020/21,1,1,0,641,6
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2019/20,1,0,0,291524,10035
