ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,toa,mh_snomed,attends
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2020/21,1,3,0,1295
E54000037,NHS Devon Integrated Care Board,2020/21,3,20,0,112
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,21,1,533
E54000029,NHS North East London Integrated Care Board,2020/21,1,19,0,20886
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2019/20,3,16,1,4
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2022/23,3,17,0,2809
E54000057,NHS Greater Manchester Integrated Care Board,2022/23,1,23,1,491
E54000030,NHS South East London Integrated Care Board,2020/21,3,3,1,13
E54000028,NHS North Central London Integrated Care Board,2021/22,5,23,0,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,5,1,1,2
E54000028,NHS North Central London Integrated Care Board,2023/24,4,14,1,7
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2020/21,5,6,0,1
E54000063,NHS Surrey Heartlands Integrated Care Board,2023/24,99,9,0,1
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2023/24,5,20,0,8
E54000031,NHS South West London Integrated Care Board,2020/21,3,2,1,3
E54000043,NHS Gloucestershire Integrated Care Board,2022/23,3,7,1,1
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2022/23,5,23,1,1
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2021/22,3,2,1,1
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2023/24,1,10,0,2415
E54000055,NHS Birmingham and Solihull Integrated Care Board,2022/23,4,14,0,31
E54000013,NHS Lincolnshire Integrated Care Board,2023/24,3,2,0,592
E54000058,NHS Derby and Derbyshire Integrated Care Board,2022/23,3,15,1,81
E54000034,NHS Frimley Integrated Care Board,2021/22,5,4,1,7
E54000034,NHS Frimley Integrated Care Board,2019/20,3,8,0,220
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2023/24,1,21,0,24408
E54000058,NHS Derby and Derbyshire Integrated Care Board,2023/24,3,14,0,15213
E54000064,NHS Sussex Integrated Care Board,2023/24,3,19,1,126
E54000058,NHS Derby and Derbyshire Integrated Care Board,2022/23,5,10,1,5
E54000063,NHS Surrey Heartlands Integrated Care Board,2022/23,5,13,0,179
E54000032,NHS Kent and Medway Integrated Care Board,2022/23,1,0,1,181
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2020/21,3,10,1,18
E54000041,NHS Dorset Integrated Care Board,2020/21,3,18,0,1482
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,3,2,0,8
E54000038,NHS Somerset Integrated Care Board,2023/24,1,16,1,42
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2021/22,4,19,0,1
E54000055,NHS Birmingham and Solihull Integrated Care Board,2023/24,3,19,0,1508
E54000050,NHS North East and North Cumbria Integrated Care Board,2022/23,3,2,0,994
E54000027,NHS North West London Integrated Care Board,2020/21,1,10,0,20346
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2020/21,1,7,1,64
