ICB23CD,ICB23NM,mh_snomed,mhsds_flag,Der_Financial_Year,assess_attends,assess_time_total,treat_attends,treat_time_total,conclude_attends,conclude_time_total,depart_attends,depart_time_total,decadm_attends,decadm_time_total
E54000008,NHS Cheshire and Merseyside Integrated Care Board,0,0,2019/20,282032,4779787,302559,31499806,355395,66467981,359393,81155286,65465,17666544
E54000008,NHS Cheshire and Merseyside Integrated Care Board,0,0,2020/21,213130,2936177,272897,20730597,301761,49091299,303947,61793149,67765,15788250
E54000008,NHS Cheshire and Merseyside Integrated Care Board,0,0,2021/22,383776,9294156,423223,62097710,436366,70727659,483238,143822785,106716,37882741
E54000008,NHS Cheshire and Merseyside Integrated Care Board,0,0,2022/23,434970,10772031,397516,59635555,397523,59678044,468813,147161056,102942,37093240
E54000008,NHS Cheshire and Merseyside Integrated Care Board,0,0,2023/24,449755,8895898,429573,59505205,429573,59505205,475904,138193269,121850,38565840
E54000008,NHS Cheshire and Merseyside Integrated Care Board,0,1,2019/20,121604,1988955,135552,15213095,152744,34604046,154015,43956177,38201,12392232
E54000008,NHS Cheshire and Merseyside Integrated Care Board,0,1,2020/21,98370,1459617,126899,10749998,137156,26814961,138112,34994954,41308,10722471
E54000008,NHS Cheshire and Merseyside Integrated Care Board,0,1,2021/22,152836,4059232,175101,29012526,179166,32977643,195811,73171685,57884,24086629
E54000008,NHS Cheshire and Merseyside Integrated Care Board,0,1,2022/23,169254,4301701,164926,27961662,164922,27975338,180328,71650133,51552,22010970
E54000008,NHS Cheshire and Merseyside Integrated Care Board,0,1,2023/24,171554,3528148,171812,27115909,171812,27115909,174442,64688502,56888,20918274
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,0,2019/20,1414,21880,1741,225568,1809,365584,1811,375023,202,43033
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,0,2020/21,1526,20770,1952,186315,2016,353443,2024,372208,182,31706
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,0,2021/22,1816,42028,2211,435777,2220,470924,2259,680048,192,49392
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,0,2022/23,1561,38882,1726,360387,1726,360925,1743,571714,182,48909
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,0,2023/24,1700,39562,1817,365725,1817,365725,1835,569419,312,81745
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,1,2019/20,4355,78162,5345,684359,5659,1358416,5673,1460439,758,171862
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,1,2020/21,3913,62879,5145,483793,5407,1179776,5408,1291800,612,125863
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,1,2021/22,6861,157822,7820,1238359,7834,1390312,8182,2334716,3048,556160
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,1,2022/23,6446,165625,7165,1205565,7166,1207374,7068,2249707,2745,566927
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,1,2023/24,7008,156784,7375,1194646,7375,1194646,7235,2223964,3142,660684
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0,0,2019/20,150897,3184342,156300,15836534,171343,37511296,171153,39432534,37670,7599984
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0,0,2020/21,109331,1538110,122734,8413936,124145,10978980,128324,27758862,33351,5110179
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0,0,2021/22,168482,4652517,174822,20743867,175651,22667528,185150,52708729,45294,10333404
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0,0,2022/23,170060,5332023,171145,24087237,171148,24110543,182328,58281765,37899,11511003
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0,0,2023/24,180852,4714087,178893,22686898,178893,22686898,190005,56162575,40846,11502926
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0,1,2019/20,82259,1608419,86975,9548374,93723,26006924,93611,27290798,26676,5981172
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0,1,2020/21,64564,900276,72252,5324812,72910,6847726,75357,20029177,24702,4196361
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0,1,2021/22,85640,2219426,88126,11500214,88405,12450792,92948,32810526,29365,7532240
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0,1,2022/23,83047,2451021,82693,12521646,82694,12531987,85898,34416613,25386,8361719
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0,1,2023/24,85975,2018276,84439,11528489,84439,11528489,87260,32985467,26132,7648471
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,0,2019/20,617,15661,674,88017,683,152535,683,156917,67,11813
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,0,2020/21,584,8940,639,56941,643,70397,651,127730,60,7529
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,0,2021/22,693,20006,720,106785,722,114858,725,198497,51,10605
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,0,2022/23,645,22316,655,115148,655,115148,670,201994,26,7232
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,0,2023/24,714,21087,735,121636,735,121636,738,197081,35,9204
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,1,2019/20,2703,57056,2979,382766,3015,824357,3004,845492,434,94745
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,1,2020/21,2250,33737,2480,223556,2495,329515,2525,716441,482,79825
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,1,2021/22,2853,81324,2911,418086,2908,488238,2981,1057284,778,172473
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,1,2022/23,2700,93004,2644,453168,2644,454218,2777,1102283,377,138244
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,1,2023/24,2811,70099,2698,424516,2698,424516,2815,1063967,350,119847
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,0,0,2019/20,16891,279152,61943,7984556,73619,17532062,73634,17615141,19890,3752044
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,0,0,2020/21,55767,1079677,53811,4715423,61078,11944643,61098,12190320,18485,2633944
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,0,0,2021/22,71315,2745729,68469,8473200,68538,8568146,83380,22687843,23480,4401945
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,0,0,2022/23,65246,3210149,39532,5891569,39533,5901120,79503,25751134,24480,5589673
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,0,0,2023/24,75364,2470983,22460,3084417,22460,3084417,77615,24799991,26533,6739751
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,0,1,2019/20,6866,135476,26915,3993088,32897,9859021,32895,9898262,11400,2441985
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,0,1,2020/21,25982,527408,25250,2466793,28858,6943090,28864,7059596,10705,1697604
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,0,1,2021/22,27452,1007351,27335,3677757,27356,3712530,33683,11426313,11827,2593685
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,0,1,2022/23,22644,1110994,14716,2460206,14716,2463812,29997,12231407,12255,3297576
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,0,1,2023/24,27192,819728,7525,1195105,7525,1195105,27618,10836279,12047,3528697
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,1,0,2019/20,72,1355,344,59412,367,92538,367,92607,33,8418
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,1,0,2020/21,334,5667,325,31240,362,63819,362,64860,20,3470
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,1,0,2021/22,349,12937,372,51922,371,52015,395,97088,20,3887
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,1,0,2022/23,245,11897,160,30190,160,30334,286,95297,16,4795
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,1,0,2023/24,307,10358,85,18943,85,18943,336,110650,22,7069
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,1,1,2019/20,307,5942,1191,185420,1388,445859,1388,447236,227,47799
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,1,1,2020/21,1368,27652,1353,133569,1516,379500,1514,381575,177,35069
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,1,1,2021/22,1414,48300,1462,207585,1464,209433,1648,592082,109,26900
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,1,1,2022/23,940,45239,757,125280,757,125280,1377,583679,125,43603
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,1,1,2023/24,1196,34554,352,67372,352,67372,1350,571787,176,60711
E54000013,NHS Lincolnshire Integrated Care Board,0,0,2019/20,98431,2127253,106455,11159661,110478,22530290,110727,29055590,40085,7210502
E54000013,NHS Lincolnshire Integrated Care Board,0,0,2020/21,76042,1237356,81982,5333352,85007,15420359,85349,20029857,33395,5099714
E54000013,NHS Lincolnshire Integrated Care Board,0,0,2021/22,99981,2098522,104671,9879127,107087,12277983,109275,34121196,35420,7167911
E54000013,NHS Lincolnshire Integrated Care Board,0,0,2022/23,108128,2406662,113677,12170449,113676,12177569,114711,40192781,33010,8055302
E54000013,NHS Lincolnshire Integrated Care Board,0,0,2023/24,109984,2498053,114864,12079424,114864,12079424,113939,40844283,34592,8757418
E54000013,NHS Lincolnshire Integrated Care Board,0,1,2019/20,49322,1114807,53484,6261680,54877,13176288,54957,18024093,23509,4813730
E54000013,NHS Lincolnshire Integrated Care Board,0,1,2020/21,40296,610217,43862,3074631,44896,9489139,45015,12677091,19340,3250282
E54000013,NHS Lincolnshire Integrated Care Board,0,1,2021/22,44228,882752,47015,4909373,47685,6007394,48242,18812664,18272,4090074
E54000013,NHS Lincolnshire Integrated Care Board,0,1,2022/23,42986,963295,45307,5507986,45307,5509373,44289,19781927,16293,4469714
E54000013,NHS Lincolnshire Integrated Care Board,0,1,2023/24,42923,987585,44469,5270209,44469,5270209,42661,19127657,16000,4482484
E54000013,NHS Lincolnshire Integrated Care Board,1,0,2019/20,513,8164,555,72759,562,126423,563,134651,51,11314
E54000013,NHS Lincolnshire Integrated Care Board,1,0,2020/21,512,5291,569,37633,570,99248,570,102248,37,5683
E54000013,NHS Lincolnshire Integrated Care Board,1,0,2021/22,572,8688,610,59970,613,64930,614,148783,24,4042
E54000013,NHS Lincolnshire Integrated Care Board,1,0,2022/23,561,9624,580,73319,580,73355,582,171165,27,6572
E54000013,NHS Lincolnshire Integrated Care Board,1,0,2023/24,594,13007,611,75059,611,75059,611,180991,23,4207
E54000013,NHS Lincolnshire Integrated Care Board,1,1,2019/20,2503,41732,2731,337348,2782,651453,2787,703541,334,68773
E54000013,NHS Lincolnshire Integrated Care Board,1,1,2020/21,2031,23087,2167,170650,2212,479861,2220,501999,247,43654
E54000013,NHS Lincolnshire Integrated Care Board,1,1,2021/22,2269,35422,2384,240742,2402,268656,2414,651586,199,44633
E54000013,NHS Lincolnshire Integrated Care Board,1,1,2022/23,2079,43156,2138,253714,2138,253777,2144,651807,134,36442
E54000013,NHS Lincolnshire Integrated Care Board,1,1,2023/24,2039,40774,2048,247446,2048,247446,2052,695385,123,35066
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,0,0,2019/20,142010,1308008,164766,15322388,180628,38708085,180687,39211018,153623,1776535
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,0,0,2020/21,95872,933981,114039,6705549,120388,21470492,121432,23435434,103736,943599
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,0,0,2021/22,155321,1815054,171942,22668271,172518,23972132,193809,51246012,166239,1829192
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,0,0,2022/23,153344,1896152,170193,24757535,170201,24774292,192235,58723427,164536,2281206
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,0,0,2023/24,147368,1671487,167893,22527879,167893,22527879,191504,55162857,165349,2344093
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,0,1,2019/20,57108,638335,63603,6421070,70519,19260882,70536,19664098,61845,976405
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,0,1,2020/21,43918,557639,50600,3498357,53320,12124804,53734,13231269,46951,574111
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,0,1,2021/22,57866,880414,61407,9503633,61571,10101954,69038,23849905,60362,940884
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,0,1,2022/23,54386,829230,56704,9965238,56705,9970690,63605,25793840,56387,1053048
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,0,1,2023/24,51887,695845,55013,8483333,55013,8483333,61727,23220247,55737,1056162
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,1,0,2019/20,529,5412,599,68513,654,139434,655,140175,549,1230
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,1,0,2020/21,358,3606,443,31719,453,78348,453,82963,368,740
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,1,0,2021/22,510,6084,561,91728,563,99277,586,157480,469,3237
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,1,0,2022/23,480,5684,506,95765,506,95765,530,170887,427,2611
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,1,0,2023/24,478,4779,531,85395,531,85395,565,158379,463,240
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,1,1,2019/20,1688,18484,1934,207131,2553,678189,2554,680581,2288,14078
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,1,1,2020/21,1471,17201,1672,122471,1785,403688,1806,448012,1583,10554
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,1,1,2021/22,1753,28369,1941,309724,1947,337565,2140,759005,1833,18622
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,1,1,2022/23,1486,23213,1654,288084,1654,288327,1930,723814,1696,9816
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,1,1,2023/24,1482,19217,1670,269538,1670,269538,1947,703691,1757,8954
E54000018,NHS Coventry and Warwickshire Integrated Care Board,0,0,2019/20,104450,1676302,143653,11610029,154994,30129057,155019,32701412,51082,13009569
E54000018,NHS Coventry and Warwickshire Integrated Care Board,0,0,2020/21,65068,717107,95281,4210008,101651,14675003,102123,17909636,32664,7410884
E54000018,NHS Coventry and Warwickshire Integrated Care Board,0,0,2021/22,134503,3054723,157059,14839953,157334,15449061,169337,40401280,43328,13065411
E54000018,NHS Coventry and Warwickshire Integrated Care Board,0,0,2022/23,153505,4145143,166775,19342926,166779,19359844,183906,51993327,47091,16584462
E54000018,NHS Coventry and Warwickshire Integrated Care Board,0,0,2023/24,168895,3367404,187331,19821092,187331,19821092,199428,53709669,48443,16159191
E54000018,NHS Coventry and Warwickshire Integrated Care Board,0,1,2019/20,45349,689693,61601,5285575,65686,14661606,65692,16168871,26233,7325827
E54000018,NHS Coventry and Warwickshire Integrated Care Board,0,1,2020/21,30450,326552,43558,1980976,46183,7782592,46406,9555292,17220,4210352
E54000018,NHS Coventry and Warwickshire Integrated Care Board,0,1,2021/22,51988,1105961,60943,5784690,61035,6017108,65553,18683584,19796,7042160
E54000018,NHS Coventry and Warwickshire Integrated Care Board,0,1,2022/23,55611,1390469,60857,7224991,60860,7231153,66542,23111119,20574,8751338
E54000018,NHS Coventry and Warwickshire Integrated Care Board,0,1,2023/24,58170,1088698,65416,7355434,65416,7355434,68862,23007342,19758,8025060
E54000018,NHS Coventry and Warwickshire Integrated Care Board,1,0,2019/20,302,5311,411,41068,437,79499,437,81023,27,5408
E54000018,NHS Coventry and Warwickshire Integrated Care Board,1,0,2020/21,352,4040,487,25028,503,74555,505,79594,27,4743
E54000018,NHS Coventry and Warwickshire Integrated Care Board,1,0,2021/22,502,10564,590,75775,592,77757,609,144541,24,4358
E54000018,NHS Coventry and Warwickshire Integrated Care Board,1,0,2022/23,457,12399,525,86416,525,86752,537,159159,25,6478
E54000018,NHS Coventry and Warwickshire Integrated Care Board,1,0,2023/24,474,8690,539,90211,539,90211,548,164923,26,5317
E54000018,NHS Coventry and Warwickshire Integrated Care Board,1,1,2019/20,1452,23056,1755,166105,1768,488251,1769,501310,380,84524
E54000018,NHS Coventry and Warwickshire Integrated Care Board,1,1,2020/21,1674,16353,2031,111770,2050,538104,2050,568863,219,40554
E54000018,NHS Coventry and Warwickshire Integrated Care Board,1,1,2021/22,2379,47326,2902,390303,2900,407048,2885,1019594,364,99317
E54000018,NHS Coventry and Warwickshire Integrated Care Board,1,1,2022/23,2300,51242,2764,482414,2764,482414,2701,1087382,238,73229
E54000018,NHS Coventry and Warwickshire Integrated Care Board,1,1,2023/24,2349,35878,2907,451023,2907,451023,2764,1069709,118,39634
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,0,0,2019/20,28822,630451,36174,3575942,37467,8097985,37488,8588719,6949,1467238
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,0,0,2020/21,49755,687789,43680,2995864,64125,8097158,64227,14276733,5522,972797
