snomed_ct_cd	snomed_ct_desc	snomed_ct_group
979641000000103	"Health of the Nation Outcome Scales for working age adults rating scale 1 score - overactive, aggressive, disruptive or agitated behaviour"	honos_waa
979671000000109	Health of the Nation Outcome Scales for working age adults rating scale 4 score - cognitive problems	honos_waa
979691000000108	Health of the Nation Outcome Scales for working age adults rating scale 6 score - problems associated with hallucinations and delusions	honos_waa
979731000000102	Health of the Nation Outcome Scales for working age adults rating scale 10 score - problems with activities of daily living	honos_waa
979651000000100	Health of the Nation Outcome Scales for working age adults rating scale 2 score - non-accidental self-injury	honos_waa
979681000000106	Health of the Nation Outcome Scales for working age adults rating scale 5 score - physical illness or disability problems	honos_waa
979721000000104	Health of the Nation Outcome Scales for working age adults rating scale 9 score - problems with relationships	honos_waa
979711000000105	Health of the Nation Outcome Scales for working age adults rating scale 8 score - other mental and behavioural problems	honos_waa
979661000000102	Health of the Nation Outcome Scales for working age adults rating scale 3 score - problem drinking or drug-taking	honos_waa
979741000000106	Health of the Nation Outcome Scales for working age adults rating scale 11 score - problems with living conditions	honos_waa
979701000000108	Health of the Nation Outcome Scales for working age adults rating scale 7 score - problems with depressed mood	honos_waa
979751000000109	Health of the Nation Outcome Scales for working age adults rating scale 12 score - problems with occupation and activities	honos_waa
989811000000106	Health of the Nation Outcome Scales for Children and Adolescents - clinician-rated scale 3 score - non-accidental self injury	honos_caa_c
989821000000100	"Health of the Nation Outcome Scales for Children and Adolescents - clinician-rated scale 4 score - alcohol, substance/solvent misuse"	honos_caa_c
989831000000103	Health of the Nation Outcome Scales for Children and Adolescents - clinician-rated scale 5 score - scholastic or language skills	honos_caa_c
989761000000104	Health of the Nation Outcome Scales for Children and Adolescents - clinician-rated scale 10 score - peer relationships	honos_caa_c
989841000000107	Health of the Nation Outcome Scales for Children and Adolescents - clinician-rated scale 6 score - physical illness or disability problems	honos_caa_c
989871000000101	Health of the Nation Outcome Scales for Children and Adolescents - clinician-rated scale 9 score - emotional and related symptoms	honos_caa_c
989861000000108	Health of the Nation Outcome Scales for Children and Adolescents - clinician-rated scale 8 score - non-organic somatic symptoms	honos_caa_c
989801000000109	"Health of the Nation Outcome Scales for Children and Adolescents - clinician-rated scale 2 score - overactivity, attention and concentration"	honos_caa_c
989791000000105	Health of the Nation Outcome Scales for Children and Adolescents - clinician-rated scale 13 score - poor school attendance	honos_caa_c
989851000000105	Health of the Nation Outcome Scales for Children and Adolescents - clinician-rated scale 7 score - hallucinations and delusions	honos_caa_c
989751000000102	"Health of the Nation Outcome Scales for Children and Adolescents - clinician-rated scale 1 score - disruptive, antisocial or aggressive behaviour"	honos_caa_c
989771000000106	Health of the Nation Outcome Scales for Children and Adolescents - clinician-rated scale 11 score - self care and independence	honos_caa_c
989781000000108	Health of the Nation Outcome Scales for Children and Adolescents - clinician-rated scale 12 score - family life and relationships	honos_caa_c
