ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,EC_Diagnosis_01,pats,attends
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,13746004,17,17
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,1,13746004,14,15
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,13746004,9,9
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,1,13746004,17,18
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,13746004,11,11
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,17226007,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,3,17226007,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,1,17226007,4,4
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,17226007,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,1,17226007,4,4
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,17226007,3,3
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,191714002,182,230
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,3,191714002,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,1,191714002,167,204
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,3,191714002,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,191714002,214,267
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,1,191714002,209,281
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,191714002,174,206
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,191736004,2,4
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,1,191736004,4,4
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,191736004,5,7
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,197480006,1098,1186
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,4,197480006,62,64
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,3,197480006,66,72
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,3,197480006,71,72
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,4,197480006,3,3
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,1,197480006,1124,1243
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,4,197480006,3,3
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,3,197480006,111,118
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,197480006,1224,1333
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,3,197480006,84,87
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,1,197480006,871,941
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,5,197480006,24,27
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,3,197480006,67,89
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,197480006,839,947
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,30077003,45,46
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,4,30077003,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,3,30077003,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,1,30077003,16,16
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,3,30077003,6,6
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,30077003,26,26
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,1,30077003,7,7
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,3,30077003,3,3
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,30077003,7,7
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,3,33449004,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,33449004,176,192
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,1,33449004,128,143
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,33449004,147,162
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,1,33449004,156,164
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,33449004,110,116
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,3,35489007,18,18
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,35489007,1770,2119
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,4,35489007,14,15
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,1,35489007,1383,1723
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,4,35489007,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,3,35489007,15,15
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,3,35489007,9,9
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,35489007,1495,1855
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,4,35489007,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,1,35489007,1174,1509
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,3,35489007,13,13
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,3,35489007,21,21
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,35489007,1228,1525
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,5,35489007,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,371631005,10,10
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,1,371631005,48,49
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,371631005,68,71
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,37941009,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,397923000,8,8
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,1,397923000,6,6
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,397923000,7,7
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,1,397923000,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,397923000,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,44376007,1,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,1,44376007,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,44376007,3,3
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,1,44376007,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,44376007,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,4,50705009,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,50705009,3,3
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,3,50705009,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,50705009,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,1,50705009,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,52072009,8,8
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,4,52072009,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,3,52072009,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,3,52072009,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,1,52072009,14,14
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,52072009,10,10
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,3,52072009,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,1,52072009,10,10
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,3,52072009,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,3,52072009,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,52072009,14,14
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,568005,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,56882008,7,7
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,58214004,9,11
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,1,58214004,17,18
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,58214004,11,11
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,1,58214004,7,7
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,58214004,14,14
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,68618008,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,69322001,381,440
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,4,69322001,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,1,69322001,237,271
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,69322001,179,192
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,3,69322001,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,3,69322001,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,1,69322001,133,153
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,69322001,157,169
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,3,69322001,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,3,72366004,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,1,72366004,34,38
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,3,72366004,4,4
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,1,72366004,71,86
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,3,72366004,1,1
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,1,72366004,83,88
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,1,72366004,73,84
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,3,72366004,3,3
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,3,72366004,4,4
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,72366004,100,120
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,735541006,2,2
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,77675002,1,1
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,1,13746004,8,9
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2020/21,1,13746004,7,9
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021/22,1,13746004,6,7
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2022/23,1,13746004,5,7
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2023/24,1,13746004,8,8
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,1,17226007,7,7
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2020/21,1,17226007,2,2
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021/22,1,17226007,10,12
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2022/23,1,17226007,5,6
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2023/24,1,17226007,5,5
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2023/24,3,17226007,1,1
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,1,191714002,71,114
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,3,191714002,2,2
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2020/21,1,191714002,50,55
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021/22,3,191714002,1,1
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021/22,1,191714002,85,119
