ICB23CD,ICB23NM,Der_Financial_Year,all_pats,all_attends,mh_pats,mh_attends,mh_freqfly,mh_freqfly_attends
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2019/20,188122,305811,3615,4494,37,276
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,135152,208243,3044,3858,44,301
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2021/22,202726,350879,3311,4149,40,339
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2022/23,217456,385349,2624,3355,42,312
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,219296,397860,2661,3391,38,328
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,83824,134548,1122,1416,11,93
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2020/21,54474,78570,956,1142,7,44
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021/22,84418,133039,1231,1525,17,123
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2022/23,89678,142041,1039,1358,20,174
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2023/24,88612,142486,1053,1324,16,126
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2019/20,31575,46047,519,638,6,43
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2020/21,20546,28117,515,699,11,71
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2021/22,35115,52453,632,815,10,66
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2022/23,36916,55870,503,646,11,89
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2023/24,36591,55503,517,693,17,110
E54000013,NHS Lincolnshire Integrated Care Board,2019/20,48314,73619,1034,1322,14,116
E54000013,NHS Lincolnshire Integrated Care Board,2020/21,38830,58397,903,1153,13,91
E54000013,NHS Lincolnshire Integrated Care Board,2021/22,59216,98797,1079,1411,20,174
E54000013,NHS Lincolnshire Integrated Care Board,2022/23,63275,108028,999,1270,13,106
E54000013,NHS Lincolnshire Integrated Care Board,2023/24,63190,110445,965,1207,11,85
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2019/20,74969,112003,1596,2067,20,141
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2020/21,49791,70849,1217,1569,13,98
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2021/22,80529,123548,1458,1925,20,205
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2022/23,82938,126564,1356,1731,20,157
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2023/24,70706,106021,1271,1587,13,101
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2019/20,78347,129056,1095,1343,9,83
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2020/21,49379,75724,1153,1475,13,93
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2021/22,80376,135499,1468,1956,28,247
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2022/23,84460,142834,1268,1619,17,143
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2023/24,82153,138111,1163,1464,23,150
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2019/20,48425,72312,436,523,4,26
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2020/21,33220,48768,883,1165,14,109
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2021/22,50743,79084,934,1230,20,136
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2022/23,52268,80235,831,1053,11,82
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2023/24,51277,79312,769,1012,13,125
E54000022,NHS Norfolk and Waveney Integrated Care Board,2019/20,57454,82088,1339,1833,31,225
E54000022,NHS Norfolk and Waveney Integrated Care Board,2020/21,39415,54350,1131,1503,24,151
E54000022,NHS Norfolk and Waveney Integrated Care Board,2021/22,57368,82981,1374,1854,24,204
E54000022,NHS Norfolk and Waveney Integrated Care Board,2022/23,58325,84634,1171,1714,29,285
E54000022,NHS Norfolk and Waveney Integrated Care Board,2023/24,57998,84452,1282,1839,26,258
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2019/20,53070,74493,537,610,2,12
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2020/21,35246,46909,229,248,0,0
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2021/22,65287,100280,754,969,14,104
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2022/23,69548,109809,663,909,18,143
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2023/24,66806,105566,690,933,15,109
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2019/20,61406,88087,922,1133,9,71
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2020/21,42496,59125,845,1082,12,91
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2021/22,63247,91953,964,1231,12,94
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2022/23,79823,125592,1121,1445,15,111
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2023/24,80899,130389,1050,1381,15,125
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2019/20,112975,174041,1255,1441,4,28
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2020/21,72691,105737,1187,1415,7,45
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2021/22,116798,188119,1368,1573,11,74
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2022/23,123435,198786,1288,1561,8,54
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2023/24,119527,191407,1237,1463,9,52
E54000026,NHS Mid and South Essex Integrated Care Board,2019/20,50741,70925,1043,1292,16,93
E54000026,NHS Mid and South Essex Integrated Care Board,2020/21,35463,48440,865,1095,12,85
E54000026,NHS Mid and South Essex Integrated Care Board,2021/22,87105,133162,1670,2120,23,148
E54000026,NHS Mid and South Essex Integrated Care Board,2022/23,90585,139449,1622,1976,15,101
E54000026,NHS Mid and South Essex Integrated Care Board,2023/24,89063,137595,1370,1654,12,83
E54000027,NHS North West London Integrated Care Board,2019/20,169015,309012,1505,1839,12,143
E54000027,NHS North West London Integrated Care Board,2020/21,77380,122353,1515,1947,24,225
E54000027,NHS North West London Integrated Care Board,2021/22,146292,254454,2219,2820,23,210
E54000027,NHS North West London Integrated Care Board,2022/23,158802,278278,1977,2666,34,337
E54000027,NHS North West London Integrated Care Board,2023/24,182369,314543,1717,2226,25,237
E54000028,NHS North Central London Integrated Care Board,2019/20,120057,201657,1270,1547,11,135
E54000028,NHS North Central London Integrated Care Board,2020/21,73135,112825,1441,1849,17,168
E54000028,NHS North Central London Integrated Care Board,2021/22,117841,198541,1716,2065,7,89
E54000028,NHS North Central London Integrated Care Board,2022/23,132797,223033,1222,1451,11,94
E54000028,NHS North Central London Integrated Care Board,2023/24,129487,215606,1199,1441,7,70
E54000029,NHS North East London Integrated Care Board,2019/20,162119,257086,1785,2195,15,148
E54000029,NHS North East London Integrated Care Board,2020/21,93633,140533,1528,2009,21,201
E54000029,NHS North East London Integrated Care Board,2021/22,154802,248907,1861,2338,22,204
E54000029,NHS North East London Integrated Care Board,2022/23,164655,265751,1800,2224,20,158
E54000029,NHS North East London Integrated Care Board,2023/24,182789,308123,1669,2038,14,107
E54000030,NHS South East London Integrated Care Board,2019/20,147032,256564,1935,2391,10,176
E54000030,NHS South East London Integrated Care Board,2020/21,89847,142712,1779,2299,19,204
E54000030,NHS South East London Integrated Care Board,2021/22,136182,227810,2195,2750,23,207
E54000030,NHS South East London Integrated Care Board,2022/23,135592,227474,2225,2881,28,246
E54000030,NHS South East London Integrated Care Board,2023/24,122364,194478,1574,1980,16,131
E54000031,NHS South West London Integrated Care Board,2019/20,129290,214875,1058,1235,7,66
E54000031,NHS South West London Integrated Care Board,2020/21,81774,128880,1069,1231,5,47
E54000031,NHS South West London Integrated Care Board,2021/22,120097,205787,1095,1299,5,41
