ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,mh_snomed,mhsds_flag,attends,left_b4_completion
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2023/24,1,0,1,3220,260
E54000055,NHS Birmingham and Solihull Integrated Care Board,2023/24,1,0,0,130179,7833
E54000022,NHS Norfolk and Waveney Integrated Care Board,2019/20,1,0,0,47358,1394
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2019/20,3,1,1,16,0
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2023/24,3,0,1,3853,144
E54000037,NHS Devon Integrated Care Board,2023/24,4,0,0,98,6
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2021/22,5,0,0,89,0
E54000058,NHS Derby and Derbyshire Integrated Care Board,2022/23,1,1,1,1043,30
E54000029,NHS North East London Integrated Care Board,2022/23,3,1,1,98,7
E54000057,NHS Greater Manchester Integrated Care Board,2019/20,4,1,1,64,0
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2022/23,1,0,0,71729,2963
E54000059,NHS Northamptonshire Integrated Care Board,2022/23,1,0,1,17567,1170
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2023/24,3,1,0,65,0
E54000034,NHS Frimley Integrated Care Board,2019/20,4,0,0,1103,17
E54000028,NHS North Central London Integrated Care Board,2020/21,1,1,0,213,2
E54000055,NHS Birmingham and Solihull Integrated Care Board,2023/24,1,1,1,2427,112
E54000026,NHS Mid and South Essex Integrated Care Board,2022/23,5,0,0,24,0
E54000055,NHS Birmingham and Solihull Integrated Care Board,2022/23,4,0,0,159,10
E54000054,NHS West Yorkshire Integrated Care Board,2020/21,3,0,1,3408,49
E54000034,NHS Frimley Integrated Care Board,2022/23,5,0,0,10794,69
E54000030,NHS South East London Integrated Care Board,2020/21,3,1,0,24,1
E54000057,NHS Greater Manchester Integrated Care Board,2023/24,4,1,0,4,0
E54000054,NHS West Yorkshire Integrated Care Board,2023/24,5,1,0,2,0
E54000030,NHS South East London Integrated Care Board,2023/24,3,1,1,179,5
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2022/23,1,1,1,714,29
E54000054,NHS West Yorkshire Integrated Care Board,2023/24,4,1,1,3,0
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2020/21,5,0,0,1,0
E54000013,NHS Lincolnshire Integrated Care Board,2023/24,1,0,1,10891,1161
E54000054,NHS West Yorkshire Integrated Care Board,2019/20,3,1,1,87,2
E54000037,NHS Devon Integrated Care Board,2022/23,3,1,1,33,1
E54000030,NHS South East London Integrated Care Board,2019/20,3,0,1,19666,1115
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,2019/20,1,1,0,84,1
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2023/24,1,0,1,31088,1952
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2023/24,3,1,0,18,1
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2021/22,5,0,1,10,0
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2019/20,4,1,0,1,0
E54000057,NHS Greater Manchester Integrated Care Board,2020/21,1,1,0,713,10
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2021/22,1,1,1,2614,80
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2020/21,3,0,1,9914,140
E54000030,NHS South East London Integrated Care Board,2019/20,1,0,1,37822,1833
E54000037,NHS Devon Integrated Care Board,2022/23,1,1,0,173,1
E54000029,NHS North East London Integrated Care Board,2023/24,1,0,1,33403,2554
E54000061,NHS South Yorkshire Integrated Care Board,2021/22,3,0,1,4919,114
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,1,1,0,136,2
E54000064,NHS Sussex Integrated Care Board,2023/24,3,1,1,586,43
E54000055,NHS Birmingham and Solihull Integrated Care Board,2019/20,1,1,0,274,15
E54000058,NHS Derby and Derbyshire Integrated Care Board,2022/23,5,0,1,269,1
E54000043,NHS Gloucestershire Integrated Care Board,2023/24,1,1,0,50,1
E54000029,NHS North East London Integrated Care Board,2020/21,5,0,1,5,0
E54000022,NHS Norfolk and Waveney Integrated Care Board,2021/22,1,1,0,173,2
E54000064,NHS Sussex Integrated Care Board,2023/24,3,0,0,71723,2579
E54000043,NHS Gloucestershire Integrated Care Board,2020/21,3,0,0,8265,47
E54000013,NHS Lincolnshire Integrated Care Board,2019/20,3,0,0,19582,374
E54000037,NHS Devon Integrated Care Board,2019/20,4,0,1,39,3
E54000029,NHS North East London Integrated Care Board,2020/21,1,0,0,77303,954
E54000031,NHS South West London Integrated Care Board,2023/24,1,1,1,875,17
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2022/23,1,0,0,104464,5150
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2022/23,4,0,1,63,0
E54000030,NHS South East London Integrated Care Board,2022/23,4,0,1,53,3
E54000034,NHS Frimley Integrated Care Board,2021/22,5,0,0,537,0
E54000059,NHS Northamptonshire Integrated Care Board,2021/22,5,0,0,7,0
E54000041,NHS Dorset Integrated Care Board,2023/24,3,1,0,3,0
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2019/20,3,0,1,12516,375
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2019/20,3,0,1,456,7
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,3,0,1,16250,464
E54000062,NHS Black Country Integrated Care Board,2021/22,3,0,0,44015,809
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2022/23,3,0,0,15370,146
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2020/21,4,0,1,11,0
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2021/22,3,1,1,16,0
E54000029,NHS North East London Integrated Care Board,2022/23,5,0,0,2119,11
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2020/21,1,0,1,17965,281
E54000031,NHS South West London Integrated Care Board,2023/24,1,0,1,29786,1081
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2019/20,3,1,0,72,0
E54000034,NHS Frimley Integrated Care Board,2023/24,4,0,0,856,2
E54000032,NHS Kent and Medway Integrated Care Board,2022/23,5,0,0,39,1
E54000059,NHS Northamptonshire Integrated Care Board,2020/21,1,1,1,1069,28
E54000032,NHS Kent and Medway Integrated Care Board,2023/24,3,0,0,101753,1928
E54000031,NHS South West London Integrated Care Board,2021/22,4,0,1,2735,71
E54000063,NHS Surrey Heartlands Integrated Care Board,2022/23,4,1,1,5,1
E54000030,NHS South East London Integrated Care Board,2020/21,3,1,1,162,4
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2023/24,1,1,0,276,5
E54000059,NHS Northamptonshire Integrated Care Board,2020/21,1,0,0,25642,310
E54000058,NHS Derby and Derbyshire Integrated Care Board,2022/23,1,1,0,130,3
E54000059,NHS Northamptonshire Integrated Care Board,2022/23,5,0,0,10,0
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2019/20,1,1,0,55,5
E54000034,NHS Frimley Integrated Care Board,2022/23,1,1,0,79,1
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2022/23,5,0,0,136,0
E54000055,NHS Birmingham and Solihull Integrated Care Board,2021/22,1,1,0,352,11
E54000043,NHS Gloucestershire Integrated Care Board,2022/23,4,0,0,58,4
E54000063,NHS Surrey Heartlands Integrated Care Board,2019/20,1,0,1,20133,398
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2019/20,3,0,1,5703,108
