ICB23CD,ICB23NM,Der_Financial_Year,EC_Department_Type,toa,mh_snomed,attends
E54000050,NHS North East and North Cumbria Integrated Care Board,2023/24,1,13,1,124
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2022/23,3,23,0,150
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2023/24,1,8,0,7482
E54000050,NHS North East and North Cumbria Integrated Care Board,2019/20,1,16,0,16127
E54000029,NHS North East London Integrated Care Board,2021/22,1,7,0,2451
E54000058,NHS Derby and Derbyshire Integrated Care Board,2022/23,1,9,1,23
E54000059,NHS Northamptonshire Integrated Care Board,2020/21,1,2,1,42
E54000063,NHS Surrey Heartlands Integrated Care Board,2020/21,5,15,0,5
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2020/21,3,15,1,7
E54000061,NHS South Yorkshire Integrated Care Board,2023/24,1,5,0,1378
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2022/23,3,9,0,1706
E54000022,NHS Norfolk and Waveney Integrated Care Board,2020/21,1,4,0,467
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2023/24,5,13,0,198
E54000058,NHS Derby and Derbyshire Integrated Care Board,2020/21,1,7,0,580
E54000058,NHS Derby and Derbyshire Integrated Care Board,2022/23,1,11,1,64
E54000032,NHS Kent and Medway Integrated Care Board,2023/24,3,0,0,949
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2020/21,3,16,0,2637
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2022/23,3,11,0,2008
E54000030,NHS South East London Integrated Care Board,2022/23,1,2,0,2673
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2020/21,1,0,1,38
E54000026,NHS Mid and South Essex Integrated Care Board,2021/22,3,17,0,409
E54000028,NHS North Central London Integrated Care Board,2023/24,1,21,0,6674
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2020/21,3,17,0,1594
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2022/23,1,4,0,708
E54000054,NHS West Yorkshire Integrated Care Board,2021/22,1,8,0,7055
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2022/23,1,5,0,360
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2020/21,1,18,1,40
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2022/23,1,7,1,18
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2019/20,1,12,0,2775
E54000063,NHS Surrey Heartlands Integrated Care Board,2023/24,1,19,1,36
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2023/24,1,3,0,219
E54000064,NHS Sussex Integrated Care Board,2020/21,1,21,0,4785
E54000059,NHS Northamptonshire Integrated Care Board,2023/24,1,6,0,699
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2019/20,1,7,0,917
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2023/24,5,11,0,11
E54000032,NHS Kent and Medway Integrated Care Board,2021/22,1,12,0,9288
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2020/21,1,15,1,70
E54000064,NHS Sussex Integrated Care Board,2020/21,1,11,1,121
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2023/24,3,14,0,5117
E54000018,NHS Coventry and Warwickshire Integrated Care Board,2020/21,1,9,0,2159
E54000059,NHS Northamptonshire Integrated Care Board,2019/20,4,16,0,8
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2021/22,3,20,0,2344
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2023/24,3,5,0,12
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2023/24,5,8,0,5
E54000041,NHS Dorset Integrated Care Board,2019/20,1,5,1,26
E54000029,NHS North East London Integrated Care Board,2020/21,1,19,1,119
E54000027,NHS North West London Integrated Care Board,2021/22,1,16,0,8787
E54000058,NHS Derby and Derbyshire Integrated Care Board,2023/24,3,15,1,11
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2020/21,1,10,0,1077
E54000059,NHS Northamptonshire Integrated Care Board,2023/24,3,18,1,24
E54000063,NHS Surrey Heartlands Integrated Care Board,2019/20,3,23,0,68
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2020/21,1,16,1,46
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,2021/22,1,5,1,21
E54000037,NHS Devon Integrated Care Board,2023/24,5,12,0,4
E54000055,NHS Birmingham and Solihull Integrated Care Board,2020/21,3,7,0,17
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,2022/23,4,13,0,19
E54000054,NHS West Yorkshire Integrated Care Board,2021/22,1,6,1,25
E54000051,NHS Humber and North Yorkshire Integrated Care Board,2023/24,1,8,0,3940
E54000031,NHS South West London Integrated Care Board,2023/24,1,0,1,49
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2020/21,4,17,0,11
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,2019/20,3,1,0,73
E54000031,NHS South West London Integrated Care Board,2023/24,1,9,0,7843
E54000059,NHS Northamptonshire Integrated Care Board,2020/21,1,1,1,54
E54000030,NHS South East London Integrated Care Board,2020/21,3,14,0,3332
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,2022/23,1,20,1,37
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2022/23,3,14,0,2135
E54000040,NHS Bath and North East Somerset Swindon and Wiltshire Integrated Care Board,2022/23,4,13,0,7
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,2021/22,5,11,0,3
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2020/21,1,21,1,29
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2021/22,1,21,1,118
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2021/22,1,13,0,4784
E54000063,NHS Surrey Heartlands Integrated Care Board,2021/22,1,15,0,5527
E54000057,NHS Greater Manchester Integrated Care Board,2023/24,5,18,0,1055
E54000026,NHS Mid and South Essex Integrated Care Board,2021/22,1,17,0,8511
E54000058,NHS Derby and Derbyshire Integrated Care Board,2023/24,1,22,1,86
E54000058,NHS Derby and Derbyshire Integrated Care Board,2021/22,1,6,0,766
E54000022,NHS Norfolk and Waveney Integrated Care Board,2021/22,5,5,0,107
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2019/20,1,6,0,420
E54000015,NHS Leicester Leicestershire and Rutland Integrated Care Board,2021/22,1,18,1,101
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,2021/22,1,14,0,3428
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2020/21,3,17,0,2513
E54000039,NHS Bristol North Somerset and South Gloucestershire Integrated Care Board,2023/24,3,19,0,87
E54000030,NHS South East London Integrated Care Board,2020/21,3,17,1,16
E54000024,NHS Bedfordshire Luton and Milton Keynes Integrated Care Board,2020/21,1,18,1,61
E54000058,NHS Derby and Derbyshire Integrated Care Board,2023/24,1,21,1,84
E54000028,NHS North Central London Integrated Care Board,2019/20,1,17,0,5637
E54000023,NHS Suffolk and North East Essex Integrated Care Board,2023/24,1,6,0,819
E54000044,NHS Buckinghamshire Oxfordshire and Berkshire West Integrated Care Board,2020/21,5,12,0,18
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,2019/20,3,12,1,17
E54000061,NHS South Yorkshire Integrated Care Board,2021/22,1,15,1,141
E54000026,NHS Mid and South Essex Integrated Care Board,2022/23,1,5,0,1277
E54000028,NHS North Central London Integrated Care Board,2021/22,5,13,0,16
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,2021/22,1,18,1,36
E54000064,NHS Sussex Integrated Care Board,2021/22,3,20,0,3148
E54000029,NHS North East London Integrated Care Board,2022/23,5,0,0,14
E54000038,NHS Somerset Integrated Care Board,2019/20,3,9,1,1
