ICB23CD,ICB23NM,mh_snomed,mhsds_flag,Der_Financial_Year,assess_attends,assess_time_total,treat_attends,treat_time_total,conclude_attends,conclude_time_total,depart_attends,depart_time_total,decadm_attends,decadm_time_total
E54000008,NHS Cheshire and Merseyside Integrated Care Board,0,0,2019/20,114509,2080619,110271,10451002,134531,20685739,135884,21725953,15228,2994650
E54000008,NHS Cheshire and Merseyside Integrated Care Board,0,0,2020/21,67231,714276,84643,5470781,93757,12137679,94416,12764674,10673,1908414
E54000008,NHS Cheshire and Merseyside Integrated Care Board,0,0,2021/22,140819,2739027,148626,17988584,153716,20486887,171222,34125822,18996,4799093
E54000008,NHS Cheshire and Merseyside Integrated Care Board,0,0,2022/23,159720,3455598,135902,16877864,135910,16887540,170707,34765509,19203,4885393
E54000008,NHS Cheshire and Merseyside Integrated Care Board,0,0,2023/24,153768,2730561,134157,14806734,134157,14806734,168640,30411578,20231,4609909
E54000008,NHS Cheshire and Merseyside Integrated Care Board,0,1,2019/20,41685,740465,41923,4245050,50182,8434806,50707,9107064,6302,1406129
E54000008,NHS Cheshire and Merseyside Integrated Care Board,0,1,2020/21,27626,339202,34263,2523617,37912,5686668,38256,6222826,5383,1078526
E54000008,NHS Cheshire and Merseyside Integrated Care Board,0,1,2021/22,46594,1014717,49418,6787225,51196,7804282,57737,13696848,7603,2270731
E54000008,NHS Cheshire and Merseyside Integrated Care Board,0,1,2022/23,48929,1199267,42800,6094251,42798,6095838,53213,13394630,6753,2002819
E54000008,NHS Cheshire and Merseyside Integrated Care Board,0,1,2023/24,47123,953338,42545,5853396,42545,5853396,50898,12151665,7717,2042674
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,0,2019/20,409,6619,471,61335,502,98309,502,99542,28,6466
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,0,2020/21,367,4558,482,43788,499,80740,499,82438,30,5218
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,0,2021/22,419,7934,490,86885,494,94237,503,132477,35,7644
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,0,2022/23,349,7748,372,71081,372,71081,376,107333,33,7436
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,0,2023/24,367,7990,380,73277,380,73277,383,110116,52,13601
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,1,2019/20,1653,32562,1980,251530,2135,468881,2140,508119,265,45764
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,1,2020/21,1414,21603,1872,168892,1964,388815,1973,425583,240,38567
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,1,2021/22,2455,56424,2815,423996,2819,475689,2946,779371,943,148405
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,1,2022/23,2267,57165,2419,388716,2419,388716,2448,708097,779,142377
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,1,2023/24,2219,46549,2246,341751,2246,341751,2347,669766,809,151133
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0,0,2019/20,44470,780475,42093,3847648,49848,7432005,49802,7502363,4765,697000
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0,0,2020/21,24973,303749,26958,1807617,27459,2307326,28726,4412106,2941,337806
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0,0,2021/22,49221,1165366,48224,5218203,48602,5750639,52941,10550729,6552,1031269
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0,0,2022/23,49904,1305317,46838,5794752,46840,5798599,53182,11382088,3929,812592
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0,0,2023/24,49045,1075512,45997,4867452,45997,4867452,51918,9959537,3899,774426
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0,1,2019/20,23136,442931,22812,2254836,26016,4570631,25984,4651589,3084,531340
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0,1,2020/21,14840,198617,15966,1187479,16199,1522649,16955,3099645,2392,344475
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0,1,2021/22,22984,588161,22938,2713681,23061,2959491,25061,5858221,3487,684227
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0,1,2022/23,21848,645249,20785,2857426,20785,2859725,23433,5980362,2204,560913
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0,1,2023/24,20720,498892,19822,2467630,19822,2467630,21898,5195772,2150,513910
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,0,2019/20,115,3308,129,15434,132,25974,132,25921,11,1610
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,0,2020/21,125,1776,135,11834,136,13816,139,26507,10,1117
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,0,2021/22,146,3997,152,22104,152,23744,151,37838,10,2195
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,0,2022/23,135,4439,132,25080,132,25080,137,41430,6,1245
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,0,2023/24,123,2779,123,18682,123,18682,126,30599,2,515
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,1,2019/20,959,20079,1051,132298,1066,279803,1066,282668,171,31532
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,1,2020/21,753,10488,817,75312,824,109586,837,224348,159,23447
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,1,2021/22,1155,33837,1163,159678,1163,189529,1202,386866,313,61523
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,1,2022/23,1020,33012,971,160771,971,160960,1060,389184,157,46093
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,1,1,2023/24,973,25468,915,134226,915,134226,991,348791,151,38941
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,0,0,2019/20,5259,70166,18969,1990600,22406,3459032,22417,3467052,3475,424893
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,0,0,2020/21,13443,191362,13238,965871,14693,1781794,14698,1804581,2083,207818
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,0,0,2021/22,22683,730446,21242,2285306,21265,2312350,25608,4633267,3710,538380
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,0,0,2022/23,21880,896936,12643,1660498,12642,1661607,26056,5447946,3580,583204
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,0,0,2023/24,23097,687681,6986,762533,6986,762533,24703,4948106,3858,624240
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,0,1,2019/20,2241,32095,8223,1015387,9826,1925557,9828,1932844,1504,265870
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,0,1,2020/21,6690,108867,6464,546651,7306,1169957,7312,1186894,1218,162009
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,0,1,2021/22,8281,275798,7757,918788,7768,929084,9494,2069603,1353,263198
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,0,1,2022/23,7023,313535,4129,601409,4130,601822,8595,2236750,1190,262774
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,0,1,2023/24,7423,247507,2102,267973,2102,267973,8109,2118395,1277,298145
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,1,0,2019/20,12,643,74,13182,78,19890,78,19892,6,1356
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,1,0,2020/21,67,1516,66,5657,74,9923,74,10272,4,469
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,1,0,2021/22,89,3312,101,14126,100,14195,108,24152,6,778
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,1,0,2022/23,55,1911,37,5426,37,5426,57,16264,3,530
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,1,0,2023/24,58,2108,17,3282,17,3282,67,20664,8,2302
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,1,1,2019/20,126,2122,438,63955,518,150984,518,152103,136,25524
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,1,1,2020/21,533,9778,527,50089,582,127148,581,127588,103,15850
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,1,1,2021/22,598,19536,596,80031,597,80436,668,215665,41,6798
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,1,1,2022/23,378,15955,309,50099,309,50099,537,200834,33,10426
E54000011,NHS Shropshire Telford and Wrekin Integrated Care Board,1,1,2023/24,502,15281,156,28250,156,28250,558,211274,66,19808
E54000013,NHS Lincolnshire Integrated Care Board,0,0,2019/20,24805,500302,26869,2344274,28037,4419596,28108,4759495,6782,874528
E54000013,NHS Lincolnshire Integrated Care Board,0,0,2020/21,15651,254416,16497,982629,17170,2350347,17277,2487229,4720,505730
E54000013,NHS Lincolnshire Integrated Care Board,0,0,2021/22,26814,567724,27751,2227665,28342,2697351,29164,5454042,5908,846651
E54000013,NHS Lincolnshire Integrated Care Board,0,0,2022/23,30163,616714,31841,2716244,31842,2717885,33254,6690505,4806,744339
E54000013,NHS Lincolnshire Integrated Care Board,0,0,2023/24,28308,548010,29858,2400760,29858,2400760,31012,6258016,4473,712279
E54000013,NHS Lincolnshire Integrated Care Board,0,1,2019/20,10815,218478,11766,1211947,12161,2274698,12194,2605637,3205,525484
E54000013,NHS Lincolnshire Integrated Care Board,0,1,2020/21,7764,117950,8266,564291,8530,1407231,8576,1620872,2467,322695
E54000013,NHS Lincolnshire Integrated Care Board,0,1,2021/22,9595,208709,9997,954301,10185,1134555,10480,2642780,2367,435238
E54000013,NHS Lincolnshire Integrated Care Board,0,1,2022/23,9467,214073,9889,1086127,9890,1086875,10299,2867390,1868,373129
E54000013,NHS Lincolnshire Integrated Care Board,0,1,2023/24,8865,210820,9276,1028826,9276,1028826,9573,2805194,1848,401665
E54000013,NHS Lincolnshire Integrated Care Board,1,0,2019/20,107,2232,119,15989,119,25338,119,27465,11,2130
E54000013,NHS Lincolnshire Integrated Care Board,1,0,2020/21,98,1119,114,6831,114,18402,114,19144,9,1674
E54000013,NHS Lincolnshire Integrated Care Board,1,0,2021/22,117,1873,123,12716,123,13988,123,26759,8,1040
E54000013,NHS Lincolnshire Integrated Care Board,1,0,2022/23,119,1807,119,14012,119,14012,123,32548,7,717
E54000013,NHS Lincolnshire Integrated Care Board,1,0,2023/24,134,2623,136,16598,136,16598,137,35699,9,810
E54000013,NHS Lincolnshire Integrated Care Board,1,1,2019/20,950,16554,1027,120766,1048,218974,1051,231598,100,16138
E54000013,NHS Lincolnshire Integrated Care Board,1,1,2020/21,745,8312,788,59069,799,144507,802,150946,86,12348
