Integrated care boards Code,Integrated care boards,Ethnic group (20 categories) Code,Ethnic group (20 categories),Age (7 categories) Code,Age (7 categories),Observation
E54000008,NHS Cheshire and Merseyside Integrated Care Board,-8,Does not apply,1,Aged 4 years and under,0
E54000008,NHS Cheshire and Merseyside Integrated Care Board,-8,Does not apply,2,Aged 5 to 15 years,0
E54000008,NHS Cheshire and Merseyside Integrated Care Board,-8,Does not apply,3,Aged 16 to 17 years,0
E54000008,NHS Cheshire and Merseyside Integrated Care Board,-8,Does not apply,4,Aged 18 to 20 years,0
E54000008,NHS Cheshire and Merseyside Integrated Care Board,-8,Does not apply,5,Aged 21 to 24 years,0
E54000008,NHS Cheshire and Merseyside Integrated Care Board,-8,Does not apply,6,Aged 25 to 29 years,0
E54000008,NHS Cheshire and Merseyside Integrated Care Board,-8,Does not apply,7,Aged 30 years and over,0
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,"Asian, Asian British or Asian Welsh: Bangladeshi",1,Aged 4 years and under,522
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,"Asian, Asian British or Asian Welsh: Bangladeshi",2,Aged 5 to 15 years,1055
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,"Asian, Asian British or Asian Welsh: Bangladeshi",3,Aged 16 to 17 years,178
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,"Asian, Asian British or Asian Welsh: Bangladeshi",4,Aged 18 to 20 years,274
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,"Asian, Asian British or Asian Welsh: Bangladeshi",5,Aged 21 to 24 years,379
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,"Asian, Asian British or Asian Welsh: Bangladeshi",6,Aged 25 to 29 years,445
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1,"Asian, Asian British or Asian Welsh: Bangladeshi",7,Aged 30 years and over,2633
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2,"Asian, Asian British or Asian Welsh: Chinese",1,Aged 4 years and under,679
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2,"Asian, Asian British or Asian Welsh: Chinese",2,Aged 5 to 15 years,2219
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2,"Asian, Asian British or Asian Welsh: Chinese",3,Aged 16 to 17 years,313
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2,"Asian, Asian British or Asian Welsh: Chinese",4,Aged 18 to 20 years,875
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2,"Asian, Asian British or Asian Welsh: Chinese",5,Aged 21 to 24 years,1876
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2,"Asian, Asian British or Asian Welsh: Chinese",6,Aged 25 to 29 years,1454
E54000008,NHS Cheshire and Merseyside Integrated Care Board,2,"Asian, Asian British or Asian Welsh: Chinese",7,Aged 30 years and over,10399
E54000008,NHS Cheshire and Merseyside Integrated Care Board,3,"Asian, Asian British or Asian Welsh: Indian",1,Aged 4 years and under,1119
E54000008,NHS Cheshire and Merseyside Integrated Care Board,3,"Asian, Asian British or Asian Welsh: Indian",2,Aged 5 to 15 years,2948
E54000008,NHS Cheshire and Merseyside Integrated Care Board,3,"Asian, Asian British or Asian Welsh: Indian",3,Aged 16 to 17 years,449
E54000008,NHS Cheshire and Merseyside Integrated Care Board,3,"Asian, Asian British or Asian Welsh: Indian",4,Aged 18 to 20 years,813
E54000008,NHS Cheshire and Merseyside Integrated Care Board,3,"Asian, Asian British or Asian Welsh: Indian",5,Aged 21 to 24 years,1166
E54000008,NHS Cheshire and Merseyside Integrated Care Board,3,"Asian, Asian British or Asian Welsh: Indian",6,Aged 25 to 29 years,1484
E54000008,NHS Cheshire and Merseyside Integrated Care Board,3,"Asian, Asian British or Asian Welsh: Indian",7,Aged 30 years and over,11247
E54000008,NHS Cheshire and Merseyside Integrated Care Board,4,"Asian, Asian British or Asian Welsh: Pakistani",1,Aged 4 years and under,719
