Area code,Area name,All categories Ethnic Group,White,Gypsy Traveller Irish Traveller,Mixed Multiple Ethnic Groups,Asian Asian British Indian,Asian Asian British Pakistani,Asian Asian British Bangladeshi,Asian Asian British Chinese,Asian Asian British Other Asian,Black African Caribbean Black British,Other Ethnic Group,region,icb22nm
E06000001,Hartlepool UA,92028,89859,40,550,266,291,214,229,304,170,105,,
E06000002,Middlesbrough UA,138412,121970,85,2362,1477,6811,244,904,1332,1731,1496,,
E06000003,Redcar and Cleveland UA,135177,133118,85,853,91,295,94,155,234,122,130,,
E06000004,Stockton-on-Tees UA,191610,181156,143,1997,1488,3072,132,866,1074,1133,549,,
E06000005,Darlington UA,105564,101245,350,1146,726,145,523,349,462,357,261,,
E06000006,Halton UA,125746,123000,41,1356,282,44,60,308,249,260,146,,
E06000007,Warrington UA,202228,193926,66,2144,1803,1179,152,849,928,694,487,,
E06000008,Blackburn with Darwen UA,147489,101848,161,1823,19791,17801,1525,721,1656,933,1230,,
E06000009,Blackpool UA,142065,137102,237,1753,627,223,231,514,687,346,345,,
E06000010,Kingston upon Hull City of UA,256406,241037,284,3454,1086,882,755,2124,1624,2996,2164,,
E06000011,East Riding of Yorkshire UA,334179,327562,227,2301,1081,396,69,660,755,598,530,,
E06000012,North East Lincolnshire UA,159616,155395,26,1186,513,195,268,605,548,411,469,,
E06000013,North Lincolnshire UA,167446,160658,90,1244,1122,862,1443,530,592,494,411,,
E06000014,York UA,198051,186462,269,2413,1531,417,370,2449,1973,1194,973,,
E06000015,Derby UA,248752,199456,295,7232,10907,14620,658,1292,3618,7320,3354,East Midlands,NHS Derby and Derbyshire Integrated Care Board
E06000016,Leicester UA,329839,166219,417,11580,93335,8067,3642,4245,13181,20585,8568,East Midlands,NHS Leicester Leicestershire and Rutland Integrated Care Board
E06000017,Rutland UA,37369,36243,58,389,113,38,7,125,82,251,63,East Midlands,NHS Leicester Leicestershire and Rutland Integrated Care Board
E06000018,Nottingham UA,305680,218372,326,20265,9901,16771,1049,5988,6330,22185,4493,East Midlands,NHS Nottingham and Nottinghamshire Integrated Care Board
E06000019,Herefordshire County of UA,183477,179806,363,1270,490,80,32,277,560,331,268,West Midlands,NHS Herefordshire and Worcestershire Integrated Care Board
E06000020,Telford and Wrekin UA,166641,154249,166,2983,3076,2243,162,647,863,1779,473,West Midlands,NHS Shropshire Telford and Wrekin Integrated Care Board
E06000021,Stoke-on-Trent UA,249008,220529,183,4491,2329,10429,1097,1224,3363,3741,1622,West Midlands,NHS Staffordshire and Stoke-on-Trent Integrated Care Board
E06000022,Bath and North East Somerset UA,176016,166415,58,2898,1116,170,219,1912,1160,1326,742,,
E06000023,Bristol City of UA,428234,359233,359,15438,6547,6863,2104,3886,4255,25734,3815,,
E06000024,North Somerset UA,202566,196900,176,2033,817,111,299,619,590,632,389,,
E06000025,South Gloucestershire UA,262767,249303,271,3667,2699,698,238,1312,1493,2218,868,,
E06000026,Plymouth UA,256384,246356,153,3287,875,202,359,1251,1219,1678,1004,,
E06000027,Torbay UA,130959,127662,37,1420,403,79,99,261,511,251,236,,
E06000028,Bournemouth UA,183491,168579,218,4191,1940,213,408,1840,2665,1764,1673,,
E06000029,Poole UA,147645,141309,214,1916,1098,96,382,698,1002,520,410,,
E06000030,Swindon UA,209156,187718,180,4226,6901,1292,936,954,3282,2861,806,,
E06000031,Peterborough UA,183631,150984,560,4948,4636,12078,229,872,3677,4164,1483,,
E06000032,Luton UA,203201,110881,198,8281,10625,29353,13606,1497,5871,19909,2980,,
E06000033,Southend-on-Sea UA,173658,158861,162,3651,1810,1059,933,1084,1554,3647,897,,
E06000034,Thurrock UA,157705,135121,308,3099,2234,534,682,828,1649,12323,927,,
E06000035,Medway UA,263925,236069,510,5176,7132,1516,1304,1065,2598,6663,1892,,
E06000036,Bracknell Forest UA,113205,102436,118,2303,1989,518,134,556,2467,2189,495,,
E06000037,West Berkshire UA,153822,145690,164,2420,1675,473,225,659,776,1376,364,,
E06000038,Reading UA,155698,116297,90,6180,6514,6967,695,1603,5382,10470,1500,,
E06000039,Slough UA,140205,63833,220,4758,21922,24869,549,797,7560,12115,3582,,
E06000040,Windsor and Maidenhead UA,144560,124286,219,3315,5860,4238,393,1071,2286,1725,1167,,
E06000041,Wokingham UA,154380,136234,291,3182,5331,2865,222,1203,1817,2093,1142,,
E06000042,Milton Keynes UA,248821,199022,72,8235,8106,3851,1989,2722,6114,17131,1579,,
E06000043,Brighton and Hove UA,273369,243314,198,10408,2996,649,1367,2999,3267,4188,3983,,
E06000044,Portsmouth UA,205056,181097,85,5467,2911,539,3649,2611,2764,3777,2156,,
E06000045,Southampton UA,236882,203187,341,5678,6742,3019,1401,3449,5281,5067,2717,,
E06000046,Isle of Wight UA,138265,134451,94,1709,435,80,131,219,649,303,194,,
E06000047,County Durham UA,513242,503302,467,3094,1368,463,241,1598,1186,701,822,,
E06000048,Northumberland UA,316028,310910,156,1692,939,351,295,452,621,338,274,,
E06000049,Cheshire East UA,370127,357627,313,3873,2147,856,504,1125,1428,1402,852,,
E06000050,Cheshire West and Chester UA,329608,320812,213,3050,1242,336,576,935,1008,908,528,,
E06000051,Shropshire UA,306129,299562,312,2168,752,216,208,1020,893,580,418,West Midlands,NHS Shropshire Telford and Wrekin Integrated Care Board
E06000052,Cornwall UA,532273,522213,635,4400,837,107,280,1004,1206,762,829,,
E06000053,Isles of Scilly UA,2203,2177,0,18,0,0,0,0,2,2,4,,
E06000054,Wiltshire UA,470981,454214,757,5568,1547,215,595,1210,2611,3228,1036,,
E06000055,Bedford UA,157479,126731,115,5386,8122,3270,3225,905,2410,6202,1113,,
E06000056,Central Bedfordshire UA,254381,238244,478,4789,2533,442,214,1404,1809,3614,854,,
E07000004,Aylesbury Vale,174137,155945,134,3864,1872,5408,201,636,1988,3323,766,,
E07000005,Chiltern,92635,84628,121,2040,1799,1772,120,442,913,524,276,,
E07000006,South Bucks,66867,56109,256,1607,4758,965,171,527,1112,709,653,,
E07000007,Wycombe,171644,139374,103,4849,2939,13091,597,949,3009,5934,799,,
E07000008,Cambridge,123867,102096,109,3944,3413,742,1849,4454,3160,2097,2003,,
E07000009,East Cambridgeshire,83818,80434,239,1182,316,103,80,290,426,506,242,,
E07000010,Fenland,95262,92164,467,901,372,65,65,215,358,497,158,,
E07000011,Huntingdonshire,169508,160483,208,2530,1119,998,351,575,1147,1642,455,,
E07000012,South Cambridgeshire,148755,138302,485,2524,2210,465,217,1189,1459,1268,636,,
E07000026,Allerdale,96422,95371,14,426,81,34,91,123,148,73,61,,
E07000027,Barrow-in-Furness,69087,67901,39,360,137,47,43,183,223,70,84,,
E07000028,Carlisle,107524,105284,196,535,273,109,180,337,349,147,114,,
E07000029,Copeland,70603,69476,15,339,137,79,70,164,179,84,60,,
E07000030,Eden,52564,51984,15,211,77,7,49,79,80,22,40,,
E07000031,South Lakeland,103658,101926,36,633,187,40,53,267,240,183,93,,
E07000032,Amber Valley,122309,119979,44,980,416,80,11,201,221,253,124,East Midlands,NHS Derby and Derbyshire Integrated Care Board
E07000033,Bolsover,75866,74386,66,518,207,56,6,166,177,267,17,East Midlands,NHS Derby and Derbyshire Integrated Care Board
E07000034,Chesterfield,103788,100167,5,1094,487,334,141,367,263,782,148,East Midlands,NHS Derby and Derbyshire Integrated Care Board
E07000035,Derbyshire Dales,71116,70102,15,466,97,84,4,95,118,87,48,East Midlands,NHS Derby and Derbyshire Integrated Care Board
E07000036,Erewash,112081,108736,29,1269,778,89,21,266,229,536,128,East Midlands,NHS Derby and Derbyshire Integrated Care Board
E07000037,High Peak,90892,88944,10,944,148,78,10,228,247,184,99,East Midlands,NHS Derby and Derbyshire Integrated Care Board
E07000038,North East Derbyshire,99023,97014,70,786,350,79,32,187,147,236,122,East Midlands,NHS Derby and Derbyshire Integrated Care Board
E07000039,South Derbyshire,94611,90455,72,1062,1649,179,4,217,326,425,222,East Midlands,NHS Derby and Derbyshire Integrated Care Board
E07000040,East Devon,132457,130257,90,904,220,6,71,210,423,146,130,,
E07000041,Exeter,117773,109497,93,1938,946,164,227,1998,1260,667,983,,
E07000042,Mid Devon,77750,76608,88,484,116,7,18,167,120,94,48,,
E07000043,North Devon,93667,91697,45,785,215,67,78,152,323,158,147,,
E07000044,South Hams,83140,81739,45,653,115,12,64,102,165,121,124,,
E07000045,Teignbridge,124220,122045,118,925,165,17,78,347,286,117,122,,
E07000046,Torridge,63839,62967,54,429,39,3,17,126,86,51,67,,
E07000047,West Devon,53553,52709,21,402,57,4,17,93,129,59,62,,
E07000048,Christchurch,47752,46543,48,505,97,5,44,179,170,83,78,,
E07000049,East Dorset,87166,85474,171,594,157,43,198,167,172,106,84,,
E07000050,North Dorset,68583,66882,95,552,111,11,76,128,470,197,61,,
E07000051,Purbeck,44973,44251,89,326,33,12,27,54,105,48,28,,
E07000052,West Dorset,99264,97180,104,770,242,59,87,242,304,169,107,,
E07000053,Weymouth and Portland,65167,63432,48,653,97,21,93,173,256,321,73,,
E07000061,Eastbourne,99412,93442,66,1791,671,107,287,621,1109,783,535,,
E07000062,Hastings,90254,84481,150,1948,487,78,276,366,919,1065,484,,
E07000063,Lewes,97502,94062,97,1275,360,64,153,316,507,416,252,,
E07000064,Rother,90588,87817,134,1031,276,16,109,217,485,305,198,,
E07000065,Wealden,148915,144805,368,1428,459,52,217,411,580,343,252,,
E07000066,Basildon,174497,160804,873,2887,2089,436,322,584,1335,4685,482,,
E07000067,Braintree,147084,141955,132,1837,625,122,190,335,726,913,249,,
E07000068,Brentwood,73601,68747,121,1196,939,113,172,377,749,896,291,,
E07000069,Castle Point,88011,85256,17,911,378,67,87,220,260,661,154,,
E07000070,Chelmsford,168310,157771,212,2646,1911,673,466,826,1086,2051,668,,
E07000071,Colchester,173074,159227,79,3152,1426,366,385,1690,2488,2575,1686,,
E07000072,Epping Forest,124659,112693,176,2649,3041,933,265,598,1085,2404,815,,
E07000073,Harlow,81944,72882,117,1752,1061,629,392,830,821,3090,370,,
E07000074,Maldon,61629,60228,201,506,117,7,90,104,166,150,60,,
E07000075,Rochford,83287,80888,49,905,262,42,81,228,268,433,131,,
E07000076,Tendring,138048,134605,62,1467,323,34,111,367,440,434,205,,
E07000077,Uttlesford,79443,76639,122,977,284,40,186,202,410,417,166,,
E07000078,Cheltenham,115732,109016,68,1878,1584,179,315,760,837,721,374,,
E07000079,Cotswold,82881,80988,87,698,218,16,38,223,299,229,85,,
E07000080,Forest of Dean,81961,80621,78,528,159,25,1,129,159,199,62,,
E07000081,Gloucester,121688,108326,136,3565,3204,639,490,448,1058,3486,336,,
E07000082,Stroud,112779,110369,57,1216,177,28,53,193,300,260,126,,
E07000083,Tewkesbury,81943,79596,305,776,387,55,63,158,238,255,110,,
E07000084,Basingstoke and Deane,167799,155725,163,2813,2437,389,330,1221,2338,1909,474,,
E07000085,East Hampshire,115608,111368,267,1305,481,31,165,316,866,517,292,,
E07000086,Eastleigh,125199,118346,191,1740,1954,160,294,625,707,605,577,,
E07000087,Fareham,111581,107874,85,1359,663,77,125,467,335,357,239,,
E07000088,Gosport,82622,79653,32,1066,428,31,149,214,251,592,206,,
E07000089,Hart,91033,86082,273,1457,880,141,136,435,856,506,267,,
E07000090,Havant,120684,117098,64,1514,504,72,155,313,383,388,193,,
E07000091,New Forest,176462,171737,423,1620,472,34,195,338,626,612,405,,
E07000092,Rushmoor,93807,79365,155,2057,1310,635,206,497,7107,1868,607,,
E07000093,Test Valley,116398,111492,153,1494,937,141,166,434,690,487,404,,
E07000094,Winchester,116595,111314,263,1626,665,92,222,745,915,457,296,,
E07000095,Broxbourne,93609,84383,147,2141,799,145,158,326,762,3957,791,,
E07000096,Dacorum,144847,131306,231,3075,2347,2007,287,784,1345,2990,475,,
E07000097,East Hertfordshire,137687,131399,57,2214,999,213,282,516,671,984,352,,
E07000098,Hertsmere,100031,84909,154,2619,3723,454,232,918,2066,3927,1029,,
E07000099,North Hertfordshire,127114,113722,33,3376,3464,424,495,808,1630,2491,671,,
E07000100,St Albans,140664,124215,165,3904,2210,1149,2633,1149,1870,2388,981,,
E07000101,Stevenage,83957,73531,67,2265,1626,489,536,635,1562,2836,410,,
E07000102,Three Rivers,87317,75215,79,2002,5231,605,158,590,1409,1610,418,,
E07000103,Watford,90301,64885,61,3104,4923,6082,362,822,3981,5229,852,,
E07000104,Welwyn Hatfield,110535,92781,155,2797,3526,734,465,1914,2065,4989,1109,,
E07000105,Ashford,117956,109989,531,1682,958,161,185,431,2256,1375,388,,
E07000106,Canterbury,151145,140246,374,2551,1448,306,251,1436,1694,1937,902,,
E07000107,Dartford,97365,84826,244,2161,2670,179,431,538,1981,3578,757,,
E07000108,Dover,111674,107732,234,1029,397,40,151,274,1169,386,262,,
E07000109,Gravesham,101720,83906,320,2066,7538,550,477,326,1713,2885,1939,,
E07000110,Maidstone,155143,145158,838,2345,1226,340,381,461,2535,1380,479,,
