Area code,Area name,Asian Asian British or Asian Welsh Bangladeshi,Asian Asian British or Asian Welsh Chinese,Asian Asian British or Asian Welsh Indian,Asian Asian British or Asian Welsh Pakistani,Asian Asian British or Asian Welsh Other Asian,Black Black British Black Welsh Caribbean or African African,Black Black British Black Welsh Caribbean or African Caribbean,Black Black British Black Welsh Caribbean or African Other Black,Mixed or Multiple ethnic groups White and Asian,Mixed or Multiple ethnic groups White and Black African,Mixed or Multiple ethnic groups White and Black Caribbean,Mixed or Multiple ethnic groups Other Mixed or Multiple ethnic groups,White English Welsh Scottish Northern Irish or British,White Irish,White Gypsy or Irish Traveller,White Roma,White Other White,Other ethnic group Arab,Other ethnic group Any other ethnic group,region,icb22nm
E06000001,Hartlepool,278,217,335,297,473,327,57,61,240,115,143,173,87761,170,37,19,1081,270,284,,
E06000002,Middlesbrough,595,669,2804,8990,2032,3339,162,315,1110,650,570,671,114421,434,160,320,3212,1452,2016,,
E06000003,Redcar and Cleveland,158,208,175,283,336,182,48,35,460,215,270,240,131789,350,87,14,1148,321,211,,
E06000004,Stockton-on-Tees,236,690,1812,4875,1439,1823,130,250,1131,469,412,725,177526,528,145,143,2595,558,1106,,
E06000005,Darlington,759,308,1086,195,618,456,135,110,516,198,384,374,97320,342,434,104,3525,329,603,,
E06000006,Halton,58,418,375,125,460,293,84,134,461,342,530,458,120301,685,91,68,2831,241,523,,
E06000007,Warrington,197,1326,2347,1760,1324,1075,277,224,1204,593,785,753,185940,1366,115,167,9717,393,1410,,
E06000008,Blackburn with Darwen,1473,400,24389,27525,1391,1061,170,175,1329,231,368,668,87997,589,101,143,4562,841,1328,,
E06000009,Blackpool,442,542,892,572,1228,449,175,87,645,408,638,519,127445,808,236,207,4854,216,676,,
E06000010,Kingston upon Hull City of,1279,1234,1259,1292,2451,4292,232,541,1172,1144,948,1249,223962,455,451,286,19835,1443,3488,,
E06000011,East Riding of Yorkshire,129,766,1210,528,1053,617,173,104,1092,547,707,851,323838,1063,324,118,7819,368,908,,
E06000014,York,413,2889,1853,545,1934,978,208,139,1579,494,631,1037,176963,1317,368,222,9297,623,1331,,
E06000015,Derby,827,1416,12631,21034,4993,6110,3056,1316,2412,924,4178,2048,173077,1982,408,1163,16241,1032,6516,East Midlands,NHS Derby and Derbyshire Integrated Care Board
E06000016,Leicester,7055,2481,126421,12673,11347,21536,4466,2764,3659,1776,5025,3439,122395,1789,457,839,25177,3402,11870,East Midlands,NHS Leicester Leicestershire and Rutland Integrated Care Board
E06000017,Rutland,19,149,236,60,170,251,213,88,249,93,236,166,37372,265,86,18,1168,13,198,East Midlands,NHS Leicester Leicestershire and Rutland Integrated Care Board
E06000018,Nottingham,2223,4263,11515,21684,8532,18740,9339,4136,3363,2129,10129,3442,185580,2360,269,1130,24091,3673,7037,East Midlands,NHS Nottingham and Nottinghamshire Integrated Care Board
E06000019,Herefordshire County of,55,339,843,139,842,340,150,77,689,280,473,538,170419,727,431,161,9510,224,795,West Midlands,NHS Herefordshire and Worcestershire Integrated Care Board
E06000020,Telford and Wrekin,207,818,4559,3368,1115,3962,748,641,1315,676,2083,770,153936,723,203,187,8589,242,1401,West Midlands,NHS Shropshire Telford and Wrekin Integrated Care Board
