ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
LC2109EWls0001,Count,Person,"All categories: Age, All categories: Ethnic group"
LC2109EWls0002,Count,Person,"All categories: Age, White: Total"
LC2109EWls0003,Count,Person,"All categories: Age, White: English/Welsh/Scottish/Northern Irish/British"
LC2109EWls0004,Count,Person,"All categories: Age, White: Irish"
LC2109EWls0005,Count,Person,"All categories: Age, White: Gypsy or Irish Traveller"
LC2109EWls0006,Count,Person,"All categories: Age, White: Other White"
LC2109EWls0007,Count,Person,"All categories: Age, Mixed/multiple ethnic group: Total"
LC2109EWls0008,Count,Person,"All categories: Age, Mixed/multiple ethnic group: White and Black Caribbean"
LC2109EWls0009,Count,Person,"All categories: Age, Mixed/multiple ethnic group: White and Black African"
LC2109EWls0010,Count,Person,"All categories: Age, Mixed/multiple ethnic group: White and Asian"
LC2109EWls0011,Count,Person,"All categories: Age, Mixed/multiple ethnic group: Other Mixed"
LC2109EWls0012,Count,Person,"All categories: Age, Asian/Asian British: Total"
LC2109EWls0013,Count,Person,"All categories: Age, Asian/Asian British: Indian"
LC2109EWls0014,Count,Person,"All categories: Age, Asian/Asian British: Pakistani"
LC2109EWls0015,Count,Person,"All categories: Age, Asian/Asian British: Bangladeshi"
LC2109EWls0016,Count,Person,"All categories: Age, Asian/Asian British: Chinese"
LC2109EWls0017,Count,Person,"All categories: Age, Asian/Asian British: Other Asian"
LC2109EWls0018,Count,Person,"All categories: Age, Black/African/Caribbean/Black British: Total"
LC2109EWls0019,Count,Person,"All categories: Age, Black/African/Caribbean/Black British: African"
LC2109EWls0020,Count,Person,"All categories: Age, Black/African/Caribbean/Black British: Caribbean"
LC2109EWls0021,Count,Person,"All categories: Age, Black/African/Caribbean/Black British: Other Black"
LC2109EWls0022,Count,Person,"All categories: Age, Other ethnic group: Total"
LC2109EWls0023,Count,Person,"All categories: Age, Other ethnic group: Arab"
LC2109EWls0024,Count,Person,"All categories: Age, Other ethnic group: Any other ethnic group"
LC2109EWls0025,Count,Person,"Age 0 to 4, All categories: Ethnic group"
LC2109EWls0026,Count,Person,"Age 0 to 4, White: Total"
LC2109EWls0027,Count,Person,"Age 0 to 4, White: English/Welsh/Scottish/Northern Irish/British"
LC2109EWls0028,Count,Person,"Age 0 to 4, White: Irish"
LC2109EWls0029,Count,Person,"Age 0 to 4, White: Gypsy or Irish Traveller"
LC2109EWls0030,Count,Person,"Age 0 to 4, White: Other White"
LC2109EWls0031,Count,Person,"Age 0 to 4, Mixed/multiple ethnic group: Total"
LC2109EWls0032,Count,Person,"Age 0 to 4, Mixed/multiple ethnic group: White and Black Caribbean"
LC2109EWls0033,Count,Person,"Age 0 to 4, Mixed/multiple ethnic group: White and Black African"
LC2109EWls0034,Count,Person,"Age 0 to 4, Mixed/multiple ethnic group: White and Asian"
LC2109EWls0035,Count,Person,"Age 0 to 4, Mixed/multiple ethnic group: Other Mixed"
LC2109EWls0036,Count,Person,"Age 0 to 4, Asian/Asian British: Total"
LC2109EWls0037,Count,Person,"Age 0 to 4, Asian/Asian British: Indian"
LC2109EWls0038,Count,Person,"Age 0 to 4, Asian/Asian British: Pakistani"
LC2109EWls0039,Count,Person,"Age 0 to 4, Asian/Asian British: Bangladeshi"
LC2109EWls0040,Count,Person,"Age 0 to 4, Asian/Asian British: Chinese"
LC2109EWls0041,Count,Person,"Age 0 to 4, Asian/Asian British: Other Asian"
LC2109EWls0042,Count,Person,"Age 0 to 4, Black/African/Caribbean/Black British: Total"
LC2109EWls0043,Count,Person,"Age 0 to 4, Black/African/Caribbean/Black British: African"
LC2109EWls0044,Count,Person,"Age 0 to 4, Black/African/Caribbean/Black British: Caribbean"
LC2109EWls0045,Count,Person,"Age 0 to 4, Black/African/Caribbean/Black British: Other Black"
LC2109EWls0046,Count,Person,"Age 0 to 4, Other ethnic group: Total"
LC2109EWls0047,Count,Person,"Age 0 to 4, Other ethnic group: Arab"
LC2109EWls0048,Count,Person,"Age 0 to 4, Other ethnic group: Any other ethnic group"
LC2109EWls0049,Count,Person,"Age 5 to 7, All categories: Ethnic group"
LC2109EWls0050,Count,Person,"Age 5 to 7, White: Total"
LC2109EWls0051,Count,Person,"Age 5 to 7, White: English/Welsh/Scottish/Northern Irish/British"
LC2109EWls0052,Count,Person,"Age 5 to 7, White: Irish"
LC2109EWls0053,Count,Person,"Age 5 to 7, White: Gypsy or Irish Traveller"
LC2109EWls0054,Count,Person,"Age 5 to 7, White: Other White"
LC2109EWls0055,Count,Person,"Age 5 to 7, Mixed/multiple ethnic group: Total"
LC2109EWls0056,Count,Person,"Age 5 to 7, Mixed/multiple ethnic group: White and Black Caribbean"
LC2109EWls0057,Count,Person,"Age 5 to 7, Mixed/multiple ethnic group: White and Black African"
LC2109EWls0058,Count,Person,"Age 5 to 7, Mixed/multiple ethnic group: White and Asian"
LC2109EWls0059,Count,Person,"Age 5 to 7, Mixed/multiple ethnic group: Other Mixed"
LC2109EWls0060,Count,Person,"Age 5 to 7, Asian/Asian British: Total"
LC2109EWls0061,Count,Person,"Age 5 to 7, Asian/Asian British: Indian"
LC2109EWls0062,Count,Person,"Age 5 to 7, Asian/Asian British: Pakistani"
LC2109EWls0063,Count,Person,"Age 5 to 7, Asian/Asian British: Bangladeshi"
LC2109EWls0064,Count,Person,"Age 5 to 7, Asian/Asian British: Chinese"
LC2109EWls0065,Count,Person,"Age 5 to 7, Asian/Asian British: Other Asian"
LC2109EWls0066,Count,Person,"Age 5 to 7, Black/African/Caribbean/Black British: Total"
LC2109EWls0067,Count,Person,"Age 5 to 7, Black/African/Caribbean/Black British: African"
LC2109EWls0068,Count,Person,"Age 5 to 7, Black/African/Caribbean/Black British: Caribbean"
LC2109EWls0069,Count,Person,"Age 5 to 7, Black/African/Caribbean/Black British: Other Black"
LC2109EWls0070,Count,Person,"Age 5 to 7, Other ethnic group: Total"
LC2109EWls0071,Count,Person,"Age 5 to 7, Other ethnic group: Arab"
LC2109EWls0072,Count,Person,"Age 5 to 7, Other ethnic group: Any other ethnic group"
LC2109EWls0073,Count,Person,"Age 8 to 9, All categories: Ethnic group"
LC2109EWls0074,Count,Person,"Age 8 to 9, White: Total"
LC2109EWls0075,Count,Person,"Age 8 to 9, White: English/Welsh/Scottish/Northern Irish/British"
LC2109EWls0076,Count,Person,"Age 8 to 9, White: Irish"
LC2109EWls0077,Count,Person,"Age 8 to 9, White: Gypsy or Irish Traveller"
LC2109EWls0078,Count,Person,"Age 8 to 9, White: Other White"
