sections_all,mha_spells
02,19841
20,15588
02-03,5663
03,5070
05,2993
20-02,2276
05-02,1398
05-03,940
02-02,669
03-03,557
20-02-03,522
02-03-03,451
06,435
05-02-03,431
06-05,424
02-02-03,300
20-20,238
20-02-02,153
03-03-03,148
06-05-02,144
10,143
20-03,130
02-03-03-03,106
06-05-03,103
05-03-03,98
32,89
19,85
19-02,82
98,79
03-03-03-03,75
06-05-02-03,68
20-02-02-03,61
04-02,58
20-20-02,51
02-05,50
05-02-03-03,46
02-02-03-03,46
05-02-02,43
19-02-03,43
01,42
03-32,39
99,36
05-05,34
03-98,33
12,33
,32
20-02-03-03,32
05-05-02,31
02-03-98,28
02-03-03-03-03,28
04,27
05-05-03,27
02-03-32,26
98-98,26
20-05,25
05-02-02-03,24
02-20,24
05-03-03-03,22
02-02-02,20
10-10,19
03-03-03-03-03,19
02-05-03,19
06-02,19
02-05-02,18
16,17
01-02,16
04-02-03,16
05-02-03-03-03,16
03-02,16
02-03-05-03,15
03-05-03,15
19-03,14
03-99,13
03-98-98,13
10-10-10,12
20-02-20,12
03-01,12
20-02-02-03-03,11
20-20-20,11
32-03,11
37,11
98-98-98,11
03-20,11
20-02-03-03-03,10
20-20-02-03,10
20-03-03,10
02-03-03-03-03-03,9
02-02-03-03-03,9
02-03-02,9
06-03,8
05-20,8
06-05-03-03,8
03-32-32,8
02-03-98-98,7
15,7
02-20-02,7
20-02-02-02,7
03-05,7
20-02-20-02,7
17,7
06-05-05,7
06-05-02-03-03,7
02-02-02-03,7
03-10,6
02-03-03-98-98,6
10-10-10-10,6
12-10,6
02-06-05,6
02-01,6
08,6
02-03-01,6
05-02-03-03-03-03,6
02-05-02-03,6
03-03-98-98,6
20-02-05,6
02-02-05,6
05-05-03-03,6
02-03-05,6
32-32,5
03-03-02-03,5
06-02-03,5
32-03-32,5
05-03-03-03-03,5
12-12,5
05-02-02-03-03,5
04-03,5
04-01-02,5
03-02-03,5
03-03-03-03-03-03,5
02-03-03-03-03-03-03,5
07,5
05-06,5
06-05-02-02,5
03-03-02,4
20-02-03-03-03-03,4
20-05-02,4
06-06-05,4
03-03-99,4
02-02-02-03-03,4
06-05-06,4
02-06-05-03,4
01-03,4
19-02-02,4
05-03-01,4
10-98,4
03-03-03-98-98,4
02-03-03-32,4
03-03-20,4
12-12-12-12,4
17-10,4
02-02-05-03,4
20-02-02-02-03,4
20-02-05-02,3
05-05-02-02,3
05-03-32,3
20-02-02-03-03-03,3
05-02-05-02,3
20-06,3
19-02-02-03,3
02-03-32-32-03,3
05-05-02-03,3
06-05-05-03,3
06-05-03-03-03,3
20-05-02-03,3
02-03-03-02-03,3
06-05-06-05,3
02-02-20,3
08-08,3
04-01,3
05-05-05,3
03-03-32-32,3
03-98-03,3
10-10-10-10-10,3
16-16,3
01-01,3
32-32-32,3
02-06,3
20-02-03-32,3
32-20,3
10-32,3
02-03-03-20,3
10-99,3
03-03-32,3
03-03-01,3
06-05-05-02,3
20-20-03,3
02-03-03-01,3
06-06,3
03-03-03-03-98-98-98,3
20-03-98,2
05-02-06-05,2
10-16,2
32-32-03,2
02-03-03-03-98-98,2
02-03-06-05-03,2
20-02-05-03,2
20-02-03-01,2
02-02-03-32,2
03-03-05-03,2
20-03-03-03,2
06-03-03,2
02-03-32-03-32-03-32,2
20-03-20,2
03-03-20-02,2
12-12-12,2
02-17,2
05-06-03,2
20-20-02-02-03,2
12-12-12-12-12-12-12,2
32-10,2
03-03-03-01,2
47,2
20-02-03-98,2
06-05-03-05,2
03-03-98,2
02-02-05-03-03,2
20-06-05-02,2
06-05-02-03-03-03,2
20-04-02,2
06-05-06-05-02,2
20-20-02-02,2
05-06-05,2
02-03-03-02,2
03-03-05-03-03-03,2
02-02-02-02,2
02-03-32-03,2
02-03-03-03-02,2
20-02-02-05,2
